adult\_generation\_2.csv &0.9906 &0.5039 &\textbf{\textcolor{red}{-0.0005}} &0.0145 &\textbf{\textcolor{red}{0.0155}} &1.0 &\textbf{\textcolor{red}{0.0006}} &nan &0.198 \\
adult\_generation\_3\_race.csv &0.8966 &\textbf{\textcolor{red}{0.4998}} &-0.001 &\textbf{\textcolor{red}{0.0047}} &0.026 &\textbf{\textcolor{red}{0.0346}} &0.0213 &\textbf{\textcolor{red}{-0.0486}} &0.0263 \\
adult\_generation\_4\_race.csv &0.9505 &0.5508 &-0.0167 &0.1238 &0.1416 &0.0825 &0.0178 &-0.1613 &0.0708 \\
adult\_generation\_5.csv &0.8127 &0.5832 &0.0159 &0.0567 &0.0612 &0.1729 &0.0045 &-1.6905 &0.0372 \\
adult\_generation\_6\_race.csv &0.7043 &0.5556 &-0.137 &0.0614 &0.1792 &0.6318 &0.1206 &inf &0.1714 \\
adult\_generation\_7\_race.csv &0.7193 &0.5491 &-0.2651 &0.2254 &0.3043 &0.6209 &0.0789 &44.383 &0.111 \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{DT}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
adult.csv &0.8088 &0.7489 &0.0872 &\textbf{\textcolor{red}{0.0279}} &\textbf{\textcolor{red}{0.0651}} &0.0891 &0.0373 &-0.2053 &\textbf{\textcolor{red}{0.0184}} \\
adult\_generation.csv &\textbf{\textcolor{red}{0.6583}} &0.6541 &-0.0347 &0.036 &0.0793 &0.0539 &0.0433 &-0.9396 &0.0249 \\
adult\_generation\_2.csv &0.977 &0.6991 &0.0227 &0.3708 &0.4037 &0.398 &0.0202 &-8.4487 &0.1797 \\
adult\_generation\_3\_race.csv &0.8292 &\textbf{\textcolor{red}{0.6379}} &0.0311 &0.0482 &0.111 &\textbf{\textcolor{red}{0.0151}} &0.0628 &\textbf{\textcolor{red}{0.1164}} &0.0397 \\
adult\_generation\_4\_race.csv &0.7724 &0.704 &\textbf{\textcolor{red}{-0.0135}} &0.2224 &0.2399 &0.0534 &0.0175 &0.7131 &0.1097 \\
adult\_generation\_5.csv &0.8165 &0.7111 &0.0509 &0.1327 &0.1402 &0.1748 &\textbf{\textcolor{red}{0.0075}} &-0.1518 &0.0656 \\
adult\_generation\_6\_race.csv &0.7738 &0.7137 &-0.7507 &0.4806 &1.1827 &0.4843 &0.6976 &0.1708 &0.1488 \\
adult\_generation\_7\_race.csv &0.7618 &0.6896 &-0.6395 &0.3888 &0.9589 &0.4444 &0.5702 &0.8829 &0.1262 \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{LR}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
adult.csv &0.7878 &0.6194 &0.0155 &0.0452 &0.0561 &0.1467 &0.0109 &-2.9489 &\textbf{\textcolor{red}{0.0367}} \\
adult\_generation.csv &\textbf{\textcolor{red}{0.6709}} &0.6456 &-0.0448 &0.0855 &0.1368 &0.0869 &0.0512 &-0.5799 &0.0809 \\
adult\_generation\_2.csv &0.9821 &0.5353 &\textbf{\textcolor{red}{-0.0008}} &0.3847 &0.3861 &\textbf{\textcolor{red}{0.0195}} &\textbf{\textcolor{red}{0.0009}} &-0.139 &0.2019 \\
adult\_generation\_3\_race.csv &0.9099 &\textbf{\textcolor{red}{0.5058}} &0.0009 &\textbf{\textcolor{red}{0.0}} &\textbf{\textcolor{red}{0.0015}} &0.0346 &0.0015 &\textbf{\textcolor{red}{0.0}} &0.0503 \\
adult\_generation\_4\_race.csv &0.9292 &0.6176 &-0.0307 &0.15 &0.1852 &0.0302 &0.0353 &-0.0346 &0.1736 \\
adult\_generation\_5.csv &0.8191 &0.5603 &0.0018 &0.0344 &0.0443 &0.2392 &0.0098 &-7.3517 &0.0451 \\
adult\_generation\_6\_race.csv &0.7265 &0.5498 &-0.1174 &0.0485 &0.1044 &0.5678 &0.0656 &inf &0.1982 \\
adult\_generation\_7\_race.csv &0.752 &0.5578 &-0.4646 &0.4168 &0.7334 &0.4971 &0.3166 &18.5786 &0.1589 \\
\hline
\end{tabular}
\end{center}
\end{table}
