checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
<0 DM,72.0,existing credits paid back duly till now,car (used),2038.1542,<100 DM,4<= <7 years,4.0,none,4.0,unknown / no property,41.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,8.703254,delay in paying off,radio/television,250.0,100 <= <500 DM,1<= < 4 years,4.0,co-applicant,1.0,unknown / no property,26.0,bank,own,1.0,unemployed/ unskilled  - non-resident,1.0,yes,yes,male,married/widowed,1
no account,36.0,delay in paying off,furniture/equipment,1015.98584,<100 DM,>=7 years,4.0,none,1.0,real estate,42.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,married/widowed,0
0 <= <200 DM,12.0,critical account,car (used),1126.7781,100 <= <500 DM,1<= < 4 years,2.0,none,2.0,unknown / no property,34.0,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,0
<0 DM,18.0,critical account,car (new),1497.3043,<100 DM,<1 years,4.0,guarantor,2.0,car or other,23.0,none,rent,1.0,skilled employee / official,1.0,none,yes,male,married/widowed,1
0 <= <200 DM,39.64001,existing credits paid back duly till now,car (used),1387.4893,<100 DM,<1 years,4.0,co-applicant,3.0,car or other,49.67004,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
no account,72.0,existing credits paid back duly till now,radio/television,1489.4299,<100 DM,>=7 years,4.0,none,4.0,unknown / no property,25.0,bank,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,8.491582,critical account,furniture/equipment,1046.2058,<100 DM,4<= <7 years,4.0,none,2.0,unknown / no property,28.288483,none,own,1.0,skilled employee / official,1.0,none,yes,male,married/widowed,0
no account,12.0,critical account,radio/television,250.0,<100 DM,<1 years,4.0,none,1.0,car or other,75.0,none,own,3.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,72.0,existing credits paid back duly till now,car (used),3036.644,<100 DM,<1 years,3.0,none,4.0,unknown / no property,61.867523,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
no account,6.0,existing credits paid back duly till now,car (new),689.24866,100 <= <500 DM,<1 years,4.0,none,1.0,car or other,44.0,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,0
no account,12.0,critical account,radio/television,3583.7583,no savings account,<1 years,4.0,none,2.0,car or other,32.0,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
<0 DM,6.0,critical account,radio/television,250.0,<100 DM,<1 years,4.0,none,3.0,real estate,21.072973,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,9.0,all credits at this bank paid back duly,furniture/equipment,3101.7925,500 <= < 1000 DM,4<= <7 years,2.0,none,2.0,savings agreement/life insurance,30.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,12.0,existing credits paid back duly till now,car (new),647.431,no savings account,1<= < 4 years,2.0,none,2.0,unknown / no property,24.68402,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,0
no account,4.0,critical account,radio/television,889.78467,no savings account,>=7 years,4.0,none,4.0,unknown / no property,50.324215,none,rent,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,72.0,existing credits paid back duly till now,car (new),5004.848,<100 DM,<1 years,4.0,none,4.0,unknown / no property,23.0,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,0
>= 200 DM ,24.0,existing credits paid back duly till now,car (used),250.0,<100 DM,<1 years,4.0,none,2.0,unknown / no property,75.0,bank,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,4.0,existing credits paid back duly till now,radio/television,2316.0552,100 <= <500 DM,>=7 years,3.0,none,1.0,real estate,28.0,none,for free,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,4.0,existing credits paid back duly till now,car (used),8276.071,<100 DM,unemployed,3.0,none,2.0,unknown / no property,52.342552,none,rent,1.0,skilled employee / official,2.0,none,yes,male,divorced/separated,1
>= 200 DM ,4.0,existing credits paid back duly till now,car (new),4227.59,500 <= < 1000 DM,<1 years,3.0,none,3.0,unknown / no property,25.33814,bank,for free,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
no account,18.0,existing credits paid back duly till now,car (used),8274.958,<100 DM,1<= < 4 years,1.0,none,2.0,savings agreement/life insurance,28.0,none,own,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,1
no account,25.086071,existing credits paid back duly till now,car (new),2639.203,<100 DM,<1 years,4.0,none,3.0,savings agreement/life insurance,19.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
>= 200 DM ,18.0,existing credits paid back duly till now,radio/television,1269.7732,<100 DM,4<= <7 years,4.0,none,2.0,unknown / no property,22.0,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,12.0,critical account,domestic appliances,250.0,<100 DM,>=7 years,4.0,none,2.0,real estate,36.0,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
<0 DM,4.0,critical account,repairs,250.0,<100 DM,<1 years,4.0,none,3.0,car or other,23.850107,bank,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,18.0,existing credits paid back duly till now,car (new),1444.4984,no savings account,<1 years,2.0,none,2.0,unknown / no property,46.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,18.0,critical account,education,18424.0,100 <= <500 DM,4<= <7 years,3.0,none,4.0,car or other,60.05755,none,own,1.0,management/ highly qualified employee,2.0,yes,yes,male,divorced/separated,0
<0 DM,6.0,delay in paying off,radio/television,2215.8372,no savings account,4<= <7 years,4.0,none,2.0,savings agreement/life insurance,26.0,none,for free,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
0 <= <200 DM,18.0,existing credits paid back duly till now,business,1925.9824,>= 1000 DM,<1 years,3.0,none,2.0,car or other,51.598377,bank,own,1.0,unemployed/ unskilled  - non-resident,1.0,yes,yes,male,divorced/separated,0
no account,12.0,existing credits paid back duly till now,furniture/equipment,8220.887,<100 DM,<1 years,2.0,none,4.0,savings agreement/life insurance,35.676304,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,0
no account,4.0,critical account,radio/television,1199.0037,<100 DM,1<= < 4 years,4.0,none,4.0,car or other,41.70256,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,4.0,existing credits paid back duly till now,radio/television,1259.9998,<100 DM,1<= < 4 years,1.4469988,none,4.0,savings agreement/life insurance,41.552258,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,12.0,existing credits paid back duly till now,radio/television,1378.6144,100 <= <500 DM,1<= < 4 years,4.0,none,2.0,car or other,75.0,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
no account,4.0,critical account,radio/television,2761.8337,<100 DM,1<= < 4 years,3.0,none,1.0,unknown / no property,38.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,12.0,existing credits paid back duly till now,car (new),250.0,100 <= <500 DM,>=7 years,4.0,none,4.0,unknown / no property,34.0,none,for free,1.0,management/ highly qualified employee,1.0,yes,yes,female,married/widowed,1
no account,4.0,existing credits paid back duly till now,repairs,6202.322,<100 DM,4<= <7 years,2.8522475,guarantor,2.0,real estate,31.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
0 <= <200 DM,12.0,critical account,radio/television,964.0924,<100 DM,1<= < 4 years,4.0,none,2.0,car or other,36.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,72.0,critical account,radio/television,1260.3329,100 <= <500 DM,unemployed,4.0,none,2.0,unknown / no property,33.0,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
<0 DM,12.0,critical account,car (used),250.0,<100 DM,<1 years,4.0,none,1.0,savings agreement/life insurance,28.0,none,for free,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
no account,24.0,delay in paying off,furniture/equipment,1326.6234,no savings account,<1 years,4.0,none,1.0,savings agreement/life insurance,34.77033,bank,own,1.0,unemployed/ unskilled  - non-resident,1.0,yes,no,male,divorced/separated,0
no account,18.0,critical account,car (new),3206.1274,no savings account,>=7 years,3.0,none,1.0,unknown / no property,55.59719,none,rent,2.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,6.0,existing credits paid back duly till now,furniture/equipment,3074.4377,<100 DM,<1 years,4.0,none,2.0,real estate,75.0,none,own,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,1
0 <= <200 DM,4.0,existing credits paid back duly till now,business,250.0,no savings account,4<= <7 years,4.0,none,1.0,unknown / no property,45.08095,none,own,1.0,unskilled - resident,1.0,none,no,male,divorced/separated,0
no account,24.0,all credits at this bank paid back duly,radio/television,18424.0,<100 DM,4<= <7 years,4.0,none,2.0,unknown / no property,28.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,72.0,existing credits paid back duly till now,car (new),6686.5244,<100 DM,>=7 years,4.0,none,4.0,savings agreement/life insurance,19.0,bank,for free,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,4.0,existing credits paid back duly till now,radio/television,1414.9939,no savings account,4<= <7 years,4.0,none,1.0,savings agreement/life insurance,28.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
0 <= <200 DM,4.0,existing credits paid back duly till now,business,698.69635,no savings account,1<= < 4 years,3.0,none,2.0,car or other,75.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
0 <= <200 DM,24.0,delay in paying off,radio/television,250.0,<100 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,28.0,bank,rent,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,4.0,existing credits paid back duly till now,car (new),250.0,no savings account,<1 years,4.0,none,2.0,real estate,28.0,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
no account,48.0,critical account,radio/television,2334.6306,<100 DM,<1 years,4.0,co-applicant,4.0,unknown / no property,43.0,none,rent,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
<0 DM,24.0,critical account,radio/television,18424.0,<100 DM,1<= < 4 years,4.0,none,4.0,car or other,24.0,bank,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,4.0,critical account,car (new),2107.6177,100 <= <500 DM,<1 years,4.0,none,2.0,car or other,25.0,bank,own,1.0,management/ highly qualified employee,1.0,yes,yes,female,divorced/separated,1
no account,48.0,critical account,radio/television,1386.45,100 <= <500 DM,<1 years,4.0,none,2.0,unknown / no property,75.0,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,15.0,existing credits paid back duly till now,radio/television,250.0,100 <= <500 DM,<1 years,4.0,none,2.0,car or other,38.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,72.0,critical account,business,7355.078,no savings account,<1 years,4.0,none,3.0,car or other,72.50521,none,own,1.0,management/ highly qualified employee,2.0,yes,yes,male,divorced/separated,1
no account,72.0,existing credits paid back duly till now,car (new),1252.2457,<100 DM,1<= < 4 years,4.0,none,1.0,unknown / no property,30.437046,none,own,2.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,36.0,critical account,car (new),2621.7356,no savings account,<1 years,4.0,none,4.0,real estate,30.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
0 <= <200 DM,72.0,existing credits paid back duly till now,furniture/equipment,8210.831,<100 DM,1<= < 4 years,4.0,none,4.0,real estate,19.0,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,0
<0 DM,12.0,existing credits paid back duly till now,car (new),1319.1106,<100 DM,<1 years,2.0,none,2.0,savings agreement/life insurance,38.732983,none,own,4.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,18.0,critical account,car (new),2595.454,500 <= < 1000 DM,>=7 years,4.0,none,1.0,real estate,32.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,72.0,delay in paying off,radio/television,2253.4229,100 <= <500 DM,4<= <7 years,4.0,none,3.0,unknown / no property,24.0,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
no account,72.0,critical account,others,8571.02,<100 DM,<1 years,4.0,guarantor,4.0,savings agreement/life insurance,23.0,store,own,1.0,skilled employee / official,1.0,none,yes,female,married/widowed,0
no account,12.0,existing credits paid back duly till now,car (used),3479.9854,no savings account,unemployed,4.0,none,2.0,unknown / no property,24.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,30.798933,existing credits paid back duly till now,car (new),2738.702,<100 DM,<1 years,4.0,none,4.0,real estate,30.110416,store,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
<0 DM,24.0,existing credits paid back duly till now,car (new),9351.594,<100 DM,<1 years,3.0,none,4.0,unknown / no property,35.0,bank,rent,2.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,18.0,critical account,repairs,1293.5421,<100 DM,unemployed,4.0,none,2.0,savings agreement/life insurance,39.68796,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,12.0,critical account,furniture/equipment,1375.1143,100 <= <500 DM,<1 years,4.0,none,2.0,car or other,32.0,bank,own,1.0,skilled employee / official,1.0,none,no,male,divorced/separated,1
no account,24.0,critical account,furniture/equipment,250.0,<100 DM,1<= < 4 years,4.0,none,3.0,savings agreement/life insurance,33.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
no account,72.0,critical account,radio/television,3748.4421,<100 DM,1<= < 4 years,4.0,none,4.0,savings agreement/life insurance,19.0,bank,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,18.0,existing credits paid back duly till now,radio/television,2336.3167,<100 DM,<1 years,4.0,none,1.0,real estate,27.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
no account,4.0,no credits taken,radio/television,250.0,<100 DM,<1 years,4.0,none,1.0,unknown / no property,36.770626,none,for free,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
0 <= <200 DM,24.0,critical account,car (used),2135.9229,<100 DM,1<= < 4 years,4.0,none,1.0,savings agreement/life insurance,75.0,none,for free,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,1
0 <= <200 DM,4.0,existing credits paid back duly till now,furniture/equipment,2318.4846,100 <= <500 DM,1<= < 4 years,4.0,none,1.0,unknown / no property,26.0,store,for free,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
>= 200 DM ,12.0,existing credits paid back duly till now,radio/television,2640.459,<100 DM,1<= < 4 years,2.0,none,3.0,real estate,43.905525,none,own,1.0,management/ highly qualified employee,1.0,yes,yes,male,divorced/separated,1
no account,4.0,existing credits paid back duly till now,education,18424.0,100 <= <500 DM,1<= < 4 years,4.0,none,4.0,savings agreement/life insurance,40.0,none,own,1.0,unemployed/ unskilled  - non-resident,1.0,none,yes,male,divorced/separated,1
<0 DM,72.0,critical account,furniture/equipment,1785.6714,no savings account,<1 years,4.0,none,2.0,car or other,36.0,none,rent,1.0,skilled employee / official,1.0,none,yes,male,married/widowed,1
no account,12.0,existing credits paid back duly till now,car (used),628.1586,<100 DM,4<= <7 years,4.0,none,2.0,real estate,48.67135,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,4.0,existing credits paid back duly till now,furniture/equipment,1160.0352,<100 DM,>=7 years,4.0,none,4.0,unknown / no property,27.339067,none,for free,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,4.0,existing credits paid back duly till now,radio/television,3837.987,<100 DM,unemployed,2.0,none,4.0,car or other,41.617363,bank,rent,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,4.0,existing credits paid back duly till now,furniture/equipment,1380.606,100 <= <500 DM,>=7 years,4.0,none,2.0,car or other,33.0,none,for free,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,4.0,existing credits paid back duly till now,radio/television,1239.059,<100 DM,<1 years,2.0,none,2.0,unknown / no property,22.06234,store,own,1.0,unskilled - resident,1.0,none,yes,male,married/widowed,0
no account,12.0,existing credits paid back duly till now,furniture/equipment,1326.1526,<100 DM,>=7 years,4.0,none,2.0,real estate,49.097645,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,4.0,critical account,car (new),1516.5214,<100 DM,1<= < 4 years,3.0,none,4.0,car or other,36.254147,bank,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,72.0,critical account,radio/television,8360.19,<100 DM,4<= <7 years,2.0,none,4.0,car or other,27.0,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,0
<0 DM,12.0,delay in paying off,furniture/equipment,1258.7056,no savings account,>=7 years,2.0,none,1.0,savings agreement/life insurance,29.0,none,rent,1.9042928,unskilled - resident,1.0,none,yes,female,divorced/separated,1
<0 DM,9.0,existing credits paid back duly till now,car (new),3529.989,<100 DM,<1 years,2.0,none,4.0,real estate,34.0,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
<0 DM,72.0,existing credits paid back duly till now,radio/television,611.43994,<100 DM,4<= <7 years,4.0,none,1.0,car or other,30.0,none,rent,1.0,skilled employee / official,1.0,none,yes,male,married/widowed,1
no account,72.0,existing credits paid back duly till now,radio/television,1559.6713,<100 DM,<1 years,4.0,none,4.0,car or other,25.0,none,for free,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
no account,24.0,critical account,radio/television,18424.0,<100 DM,>=7 years,4.0,none,3.0,unknown / no property,28.0,none,for free,1.0,unskilled - resident,1.0,none,yes,female,married/widowed,1
<0 DM,72.0,existing credits paid back duly till now,car (new),3282.5042,<100 DM,4<= <7 years,3.0,none,4.0,savings agreement/life insurance,57.503826,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,18.0,critical account,car (new),1250.7018,<100 DM,>=7 years,4.0,none,2.0,unknown / no property,32.0,none,own,1.0,management/ highly qualified employee,1.0,yes,yes,female,divorced/separated,1
<0 DM,8.96412,existing credits paid back duly till now,car (new),2495.8452,<100 DM,>=7 years,4.0,none,2.0,savings agreement/life insurance,28.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,12.0,existing credits paid back duly till now,car (new),5835.1875,no savings account,>=7 years,1.0,none,4.0,car or other,26.0,none,rent,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
<0 DM,4.0,existing credits paid back duly till now,radio/television,1476.0648,<100 DM,<1 years,2.0,none,4.0,car or other,42.807384,none,own,2.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,4.0,delay in paying off,car (new),1433.4116,no savings account,>=7 years,4.0,none,2.0,real estate,31.480135,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
no account,18.0,existing credits paid back duly till now,radio/television,3837.194,100 <= <500 DM,1<= < 4 years,1.0,none,4.0,savings agreement/life insurance,75.0,none,rent,2.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,24.0,existing credits paid back duly till now,business,4399.3057,<100 DM,4<= <7 years,2.0,none,1.0,car or other,29.0,none,own,1.0,skilled employee / official,1.0,none,yes,female,married/widowed,0
0 <= <200 DM,12.0,existing credits paid back duly till now,car (used),2520.0386,<100 DM,unemployed,4.0,none,1.0,savings agreement/life insurance,33.0,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,0
no account,36.0,existing credits paid back duly till now,car (used),2021.5348,<100 DM,<1 years,3.0,none,4.0,unknown / no property,26.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,72.0,existing credits paid back duly till now,furniture/equipment,5645.0703,<100 DM,<1 years,4.0,none,4.0,savings agreement/life insurance,26.0,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
no account,4.0,critical account,car (used),2979.4155,no savings account,1<= < 4 years,3.0,none,2.0,savings agreement/life insurance,25.0,store,own,1.0,skilled employee / official,1.0,none,yes,male,married/widowed,1
0 <= <200 DM,12.0,critical account,car (new),1766.8965,<100 DM,>=7 years,4.0,none,4.0,real estate,75.0,none,own,2.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,12.0,delay in paying off,car (new),1438.6602,no savings account,4<= <7 years,4.0,none,2.0,car or other,41.0,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,0
