LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY0,PAY2,PAY3,PAY4,PAY5,PAY6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,class-label
92350,1,3,1,1,2,2,0,0,0,0,72425,73601,164107,34879,23376,46148,740,834,2243,464,901,495,1
151081,1,3,2,1,-1,-1,-1,-1,-1,-1,2165,808,28453,1968,16981,464,11582,5143,6325,3623,590,2559,0
207109,0,4,2,1,-1,-1,-1,-1,-1,-1,84053,6913,86587,14494,1147,2318,7887,9515,2578,5199,68,152754,0
52874,1,2,1,1,0,0,0,0,0,0,41934,42323,60517,16658,39958,13582,813,2894,5723,1292,1213,760,0
69282,0,1,2,1,-1,-1,-2,-2,-2,-1,5071,-199,2388,3224,948,615,0,867,1581,702,6855,4402,0
94793,1,2,1,1,-1,-2,-2,-2,-2,-1,2723,749,-514,1413,1125,-934,0,0,2915,32,0,32779,0
186782,1,2,2,1,0,0,0,0,0,0,50088,89596,157035,106177,114573,63515,7613,154888,3953,682,5922,15451,0
346384,1,1,2,1,0,0,0,0,0,0,26137,30037,13315,16985,16800,1398,5652,10173,3011,1842,1621,1132,0
47562,0,1,2,1,-1,-1,2,-1,-1,0,-1647,18116,17359,28866,37780,34228,1545,1585,25,4490,1541,1050,0
79893,0,2,2,1,1,0,0,0,2,0,72658,36246,24554,135464,24574,43025,2114,4123,2597,3341,1731,5258,0
14184,1,2,2,0,0,0,0,0,0,2,11308,11468,19743,2838,650,-870,1422,45,858,0,362,0,0
506690,1,2,1,1,1,-2,-1,-1,0,0,7561,10103,20693,24996,10813,28418,0,3301,3678,2885,2061,2640,0
221722,0,1,2,1,2,3,2,2,-1,2,15991,16949,6936,23382,19423,37142,2935,0,728,1989,1698,1335,1
73233,0,3,2,1,0,0,0,0,0,2,61452,39651,42883,47707,18522,58502,383,2858,2262,226,845,3040,0
91164,1,1,2,1,0,0,0,0,0,0,33725,50612,26843,38134,53049,29589,1950,4205,463,1108,2246,1889,0
32460,1,2,1,1,-1,2,0,-1,0,0,15836,1955,20069,6012,6557,18207,387,64,1044,1728,1951,209,0
180494,1,6,2,1,-2,-2,-2,-2,-2,-2,480,366,1385,2655,1423,191,2844,0,228,498,1231,0,0
10000,1,2,1,1,2,2,2,2,2,2,57374,47357,48584,35170,30262,50659,2320,0,242,937,181,79,1
73418,0,1,1,1,0,0,0,0,2,2,19977,41043,20099,39211,44422,43672,3099,3181,17316,1614,1553,922,0
100286,1,2,2,1,0,0,0,-2,-2,-2,26386,37850,3915,1293,914,-1660,5667,9860,10899,3813,2634,1734,0
47930,1,3,1,1,0,0,0,0,0,0,15609,19427,16537,15921,32191,18739,4702,1954,178,2593,1953,516,0
496296,1,4,2,1,-2,-2,-2,-2,-2,-2,64637,337,2724,2316,2823,2495,10507,4026,3743,2072,21925,2304,0
238947,0,2,1,0,1,-1,-1,0,0,0,418,1740,1317,27709,-215,2792,759,887,1412,626,237,2070,1
305095,0,6,2,1,0,0,0,0,0,0,237659,225575,197274,260491,29454,128937,23820,9360,3015,18768,2744,14863,0
62529,0,1,1,1,-1,0,0,-1,0,0,1396,35668,18435,24501,59340,17852,3697,5654,1031,7305,3394,2152,0
106342,1,2,2,1,0,0,0,0,0,0,68136,147493,169791,106569,45213,119308,2423,2517,4944,3593,4880,2715,1
75431,1,1,2,1,-2,-1,-2,-2,-1,-2,-609,1969,-403,1502,1815,3417,5346,1262,558,315,1940,1837,0
122896,0,2,2,1,0,0,0,0,0,0,12074,49448,154923,27686,5589,34925,2479,1745,2087,372,1911,0,0
132216,0,1,2,1,-1,-1,-1,0,0,0,116398,133793,130353,139191,41475,113199,766,9042,2854,1644,10152,2146,0
108482,1,2,2,1,0,0,0,0,0,0,103709,176921,111671,143944,103261,119848,3915,5014,2590,3003,4804,2262,0
44090,0,3,1,1,2,2,2,2,0,2,17604,47197,21134,103946,99009,95593,1273,11022,6979,4262,9173,367,1
27846,1,2,2,1,0,0,0,0,0,0,16216,17196,12112,10404,7866,278,1679,3298,1032,433,894,295,0
128040,1,1,2,1,2,0,0,0,2,2,87431,58084,129914,46258,25135,113762,2935,3078,1168,930,2453,3637,1
280984,0,2,2,1,0,0,0,0,0,0,261354,124235,142825,261018,194889,199615,16064,12677,12221,6075,10090,5972,0
87046,0,2,2,1,0,0,0,0,0,0,12894,82411,33640,9985,1544,212,1408,1740,832,122,0,438,0
360329,1,2,2,1,0,0,0,0,0,0,23063,56730,52186,50932,155442,70698,5256,3145,2120,2545,2353,6310,0
41898,0,2,2,0,2,-2,0,-1,0,0,-2602,-476,12270,11404,9647,202,395,1143,920,493,101,94,0
117263,0,1,3,1,-1,-1,-1,-1,-1,-1,943,1578,335,2645,1814,-654,5865,1675,3175,191,3921,1395,0
94128,0,2,1,1,-2,-2,-2,-2,-2,-2,-685,311,710,3108,1403,524,13,1000,1654,1972,2117,2558,0
49008,1,2,1,1,-2,-2,-2,-2,-2,-2,-808,1140,14566,9518,-168,244,902,1294,972,0,0,0,0
366050,0,1,1,1,-1,-1,-2,-2,-2,-2,-131,638,-291,3206,1703,555,2618,9652,290,1148,438,15912,0
70702,0,2,2,1,2,3,3,2,2,2,11012,43479,55915,36840,12071,20817,1533,1417,1801,248,763,474,1
33608,0,1,2,0,-1,-1,-2,-1,-2,-2,-3746,890,-518,726,-1224,-1761,1187,349,336,0,737,0,0
209063,0,2,2,1,1,0,0,0,0,0,59527,33227,65477,95759,70653,80888,789,1700,1734,1693,3328,107992,0
57973,0,2,2,0,-1,-1,2,-1,-1,-1,11026,1229,2529,1666,707,1229,1846,840,2739,0,2748,1945,0
33806,0,3,2,1,1,0,0,0,0,0,6270,13670,21283,38228,41504,56991,0,1325,1081,2422,1002,276,1
68129,0,2,1,1,3,3,3,-1,2,-1,-691,26739,-2835,834,1315,-1080,0,500,829,0,119,112,1
201533,1,1,2,1,0,0,0,0,0,0,96819,175675,143156,145832,102300,75100,2759,16965,6012,4897,93341,116726,0
117747,0,3,2,1,2,2,0,0,0,0,127652,57501,80025,118305,81329,84850,1894,2158,4542,3179,4464,3357,1
192171,0,1,2,1,-1,-1,-1,-1,0,-1,-449,750,1923,25085,8364,2645,2472,20085,10535,5314,4808,1631,0
33377,1,2,1,1,0,0,0,0,0,0,16770,19648,22730,13054,16740,6856,1585,3325,568,6958,3074,240,0
42739,0,3,2,1,0,0,0,0,-2,-2,14738,49773,24724,16301,-771,2727,17906,4984,1370,0,85,48,0
281172,0,3,1,1,0,0,0,0,0,0,190730,172459,267476,125650,177723,190285,25145,5203,6826,3000,6162,6617,1
311039,0,2,2,1,0,0,0,0,0,0,130936,161388,121049,147071,142086,89366,20888,3395,4591,3876,3198,8290,0
69343,0,1,1,1,-2,-2,0,-2,-2,-2,22036,5460,-243,9845,1660,1061,8296,1344,1169,1576,1420,0,1
108917,0,2,1,1,-1,-1,0,0,0,0,11980,18356,15969,16365,29563,37259,2423,5123,988,2687,2631,8104,0
86298,0,3,1,1,3,-2,-2,-2,-2,-2,19193,4123,43892,21913,16454,1422,0,937,921,1929,1492,2943,0
75793,0,3,1,1,1,-1,-1,-1,-1,-1,1200,181,-101,2199,215,12343,0,1222,1370,6970,6604,822,1
58732,0,2,2,1,1,2,2,2,2,2,11593,56428,57975,36183,20099,11743,1553,727,5835,4272,2391,2636,0
353142,0,4,2,0,-1,0,0,-1,0,0,430137,41132,296962,47537,42483,261696,32796,19027,48468,20424,18791,204038,0
193882,0,2,1,1,0,0,2,0,0,0,108187,79515,88317,93103,168355,86828,2487,2981,4038,0,4806,41017,0
105404,0,5,1,1,2,0,0,0,0,0,22525,48440,21119,14345,2200,1344,198,1736,1520,1010,28,264,1
116395,0,2,2,1,-1,-1,-1,-1,-1,-1,4593,-731,-717,783,-66,-309,837,151,3349,310,5939,0,0
221880,0,2,2,1,0,0,0,0,0,0,49617,34960,27243,42068,15039,21276,0,1570,25679,1579,989,6561,0
104583,0,2,1,1,0,0,0,0,2,0,136369,39495,49069,41024,6599,38447,9549,13103,4846,6556,6743,3004,0
173889,0,1,2,1,0,0,0,0,2,2,89044,150846,115954,100061,102923,69691,9336,12152,88814,1298,20214,6637,0
39399,1,1,1,1,-1,-1,-1,0,0,0,14088,2285,8863,33135,13109,43142,7,2681,1410,1124,1366,1280,0
200842,1,2,1,1,0,0,0,0,0,0,283227,86246,87402,100167,161741,106139,5254,4484,4223,5206,5033,6146,0
127382,1,1,2,1,2,-2,-2,-2,-2,-1,533,1168,375,3,-212,-232,0,1037,978,3095,1453,409,1
495026,0,1,1,1,-1,-1,-1,-1,0,0,206475,203691,211147,452230,33097,59163,16711,23461,18373,31264,16372,119663,0
85244,1,3,1,1,0,0,0,0,0,0,15799,51904,15362,10063,7285,9810,2360,2674,1511,371,2031,532,0
248998,1,1,2,1,-1,-1,-1,-1,-1,-1,-1944,1005,4800,1055,-81,-153,0,2275,2603,2207,4779,296,0
40588,1,2,2,1,1,2,-1,-1,-1,0,499,3386,-598,2509,1546,2345,0,0,462,655,3537,229,0
358711,1,1,2,1,1,-2,-1,0,0,0,-750,2125,12779,21163,9817,2039,1669,7966,3552,2304,55,236,0
55640,0,1,2,1,0,0,0,2,0,0,96804,87754,38243,23003,143142,35184,2788,12580,1721,1256,1012,565,0
173307,0,1,1,1,-1,-1,-1,-1,-1,-1,-1296,1277,-781,21970,555,6992,145,0,698,3080,4818,0,0
499098,0,1,2,1,-1,-1,-2,-1,-2,-2,-190,31572,19343,10451,15720,12228,916,30031,9708,14362,52213,2342,0
12210,1,5,2,1,0,0,0,0,0,0,11282,17284,17283,6911,6092,1392,655,1367,844,837,1097,1651,0
175812,1,4,2,1,0,0,0,0,0,0,83181,65640,92801,117581,101133,88492,2959,6033,4463,1601,3043,2715,0
348410,0,1,1,1,-1,-1,-1,0,0,0,283656,407185,366135,557109,247540,443241,23738,22570,10069,9906,4200,19339,1
488882,0,2,3,1,1,-2,-2,-1,0,0,518,36499,60615,54648,44400,65582,2261,32577,22687,3909,1600,77,0
205826,0,2,1,1,0,0,-2,-1,-1,-1,16429,36077,2313,3758,1717,6269,438,2806,1520,1512,4631,572,0
258281,1,1,2,1,-1,-1,-1,-1,0,0,-206,1019,5677,12258,874,-136,2386,23193,21100,1060,6237,163,0
70480,0,1,2,1,0,0,2,0,0,0,129083,163253,116217,136043,94565,41688,5240,7965,865,905,1813,5347,0
45097,1,2,3,1,1,2,0,0,0,0,10330,7456,30861,40362,15222,56380,0,191,2056,712,1954,3403,0
353412,0,1,2,1,1,-2,-2,-2,-2,-2,1194,-1349,-283,696,-460,38,0,937,2796,0,0,778,0
482559,1,2,1,1,-1,-1,-1,-1,-1,-1,3022,14176,11140,24798,11297,40952,33713,11005,10346,2426,29100,6024,0
48440,1,6,2,1,0,0,0,-1,0,-1,5889,9512,13759,6271,2636,283,368,9577,467,1342,6,989,0
29507,0,2,3,1,2,0,2,0,2,2,31142,21247,42145,34941,48252,57273,102,658,617,567,297,2083,0
10000,0,2,1,1,3,2,2,2,2,2,54927,58644,41622,46847,65997,55968,0,343,0,566,0,149,1
261208,1,2,1,1,1,2,2,0,2,2,245153,125507,90698,191401,111922,177288,8502,3284,8588,7827,11752,7114,1
73160,0,3,1,1,-1,-1,-1,-1,0,0,-477,281,-1609,1865,1045,-120,1538,1086,4438,1326,4335,3986,0
99230,0,2,1,1,-2,-2,-2,-2,-2,-2,-1293,-1083,-147,3387,133,84,0,0,3099,1089,108,1897,0
63277,0,2,1,1,2,3,3,2,2,2,93433,136458,83261,113618,105218,78481,328,4023,3292,5102,3956,0,1
292221,0,4,2,1,0,0,0,0,0,0,179423,29496,58075,280033,65064,15565,9972,6223,37164,36735,89042,6460,0
420488,1,1,1,1,0,-1,-1,0,0,0,3160,48490,1816,16354,1662,1093,4425,2226,1643,1701,1979,1337,0
464847,0,1,1,1,1,-1,-1,0,0,0,135290,279128,177823,280559,217469,137480,10053,10077,5875,4947,11764,6983,1
345675,1,1,1,0,-1,-2,-2,-2,-2,-2,-596,-1692,-1169,2691,177,-215,10453,523,247,97,713,406,0
181771,1,2,2,1,1,0,0,0,0,0,141578,53068,113419,127197,121886,170640,3846,7542,6872,705,3931,5309,0
98334,0,2,2,1,0,0,0,-1,0,0,8426,2860,8073,14094,18240,9216,1168,637,1799,2542,2079,7168,0
37812,0,2,2,1,0,0,0,0,0,0,89017,50420,50011,12091,11399,31943,3037,3009,3105,2673,1207,306,0
227592,1,2,3,1,-1,-1,-1,-1,-1,-1,-2551,738,916,2784,941,24294,7647,4556,3950,5572,5615,6313,0
135022,1,2,1,1,0,0,0,0,0,0,256124,281859,169893,136199,120464,168516,1940,12150,3161,5438,4763,6518,0
19357,1,5,1,1,0,0,0,0,0,0,14447,15266,12205,13353,5092,-71,4757,2637,1229,250,1071,393,0
56575,1,3,2,1,1,-2,-2,-2,-2,0,109,372,634,553,1039,1629,1679,1255,1183,656,2076,1673,0
315430,1,1,1,1,0,-1,-1,-1,-1,0,11205,36627,35723,37712,13480,15417,12962,2293,1310,4374,31118,1933,0
84068,1,1,0,0,-1,-1,-1,-1,0,-1,1248,2202,-594,717,865,-1180,0,3415,4036,469,29,115,0
54552,1,2,2,0,0,0,0,0,0,0,24524,75822,85453,28508,32315,50114,0,4492,2583,3694,4873,2618,0
53709,0,2,2,1,-1,-1,0,-1,0,0,4622,1364,-222,818,1859,538,1647,2113,943,0,0,124,0
347293,0,1,1,1,-2,-1,-1,-1,-2,-2,25787,51560,2739,3864,2630,-645,4844,4155,2564,1458,269,57,0
181621,1,2,1,1,1,0,0,0,0,0,143105,162458,123201,88386,77886,77055,4658,7056,2890,3174,5213,7447,0
65653,1,3,1,1,0,0,-1,0,0,0,8354,12485,14406,10199,-767,-300,829,6453,686,4608,1422,1800,0
35380,0,2,2,1,3,3,3,2,2,2,14427,27755,699,611,67,4860,0,0,608,0,0,0,1
159591,1,1,1,1,-1,-1,-1,-1,-1,-1,462,19,5891,1067,1152,-181,227,1057,3190,152,165,240,0
220768,0,3,1,1,0,0,0,2,0,0,95097,51607,39808,43980,601,28042,667,980,1439,1704,2159,0,0
75621,1,1,1,1,-1,-1,2,2,-1,-1,18102,39149,1209,32689,29605,18983,1696,1939,700,319,6211,784,0
66716,1,6,1,1,-1,0,0,0,0,0,295697,207654,132881,142026,78605,296323,10931,25026,6984,14182,14464,15755,1
78570,0,4,2,1,-1,-1,-1,0,-1,-1,578,-170,13456,18346,297,379,0,126,785,15706,1619,235,0
66114,1,1,2,1,0,0,0,0,0,2,189393,172343,173819,108307,130244,175998,9002,5266,5071,269,133,5909,0
92480,0,2,2,1,0,0,0,0,0,0,65707,46168,57626,39048,80145,27774,1037,228,11690,332,4758,920,0
21535,0,2,2,1,0,0,0,0,0,-2,3288,52824,34856,6628,-662,-1024,547,2062,1226,1285,720,0,1
26053,0,1,2,0,1,-1,0,0,0,0,8851,26446,1934,20519,13077,1583,0,412,948,487,1334,501,0
370197,0,1,1,1,0,0,0,0,0,0,86269,362967,324388,150810,171317,83944,84794,3294,9426,3110,10788,6579,0
75333,0,1,2,1,0,0,0,0,0,2,41484,111555,132589,92396,75853,80836,3708,3046,4455,10742,1849,888,1
314704,0,1,2,1,0,-1,-1,0,0,0,67739,116295,300478,215303,83792,78711,22266,21916,20020,39857,37541,11071,0
87710,0,2,2,0,2,2,0,0,0,2,64355,45641,82796,46651,25135,81313,1505,2271,1271,0,4695,1559,1
71830,0,2,3,0,1,0,0,0,0,0,3563,18931,21562,12093,7987,35004,867,1541,1077,346,1210,463,0
83400,0,2,0,1,1,-2,-2,-2,-2,-2,-212,-907,-163,306,1091,33,0,0,1123,3248,314,308,0
18152,0,3,2,1,2,0,0,2,2,2,14272,12059,17219,12086,8185,9502,504,0,482,0,668,43,0
183135,0,2,2,0,-2,-2,-1,-2,0,-2,919,-1335,-1195,1582,-320,4205,877,1906,4881,1771,11217,49,0
485572,1,2,1,1,-2,-1,-1,-1,-1,-1,10093,290,1013,420,13059,1876,5654,9377,2216,4694,1949,7515,0
220322,0,3,1,1,-1,-2,-2,-2,-2,-1,57,-1305,-906,2764,613,-1060,0,0,549,3902,360,20,0
149761,0,5,1,1,-1,-1,-1,-1,-1,-1,26,-93,-1207,512,80,18,630,11500,6839,230,359,3770,0
90906,0,1,2,1,0,0,0,0,0,0,100475,59873,45221,33218,11869,65008,6107,5847,4402,1435,3486,5778,0
282145,1,5,2,1,0,0,0,0,0,0,177867,175785,355913,222718,137216,183549,8025,15911,2398,8324,6523,9322,0
98966,0,2,1,1,0,0,0,0,0,0,52614,61376,39443,54226,24910,34322,1332,2611,1038,2011,1272,319,0
32082,1,2,2,1,0,0,0,0,0,0,50671,33209,46223,27328,25739,37446,2663,2161,1122,1678,1282,1929,0
65215,1,3,1,1,0,0,0,0,0,0,6141,30355,17544,7941,20930,19684,3173,5909,1079,2120,1220,422,0
125675,0,3,2,1,2,2,-1,2,0,0,133910,86184,18562,125084,109059,243861,4356,7500,5166,9810,10419,9190,0
51185,0,2,2,1,0,0,0,0,0,0,55856,46332,43694,11041,16386,15195,769,2689,2141,1742,794,2246,0
66251,1,3,2,1,-2,-2,-2,-2,-2,-2,-1384,107,-1331,1301,1580,-124,0,495,3064,248,34,106,0
107111,1,1,2,1,-1,2,0,0,0,0,11489,37039,20412,13410,39943,25701,1911,4178,3185,1227,3162,3440,1
71645,1,3,2,1,0,0,0,0,0,0,28713,57192,40508,44455,17603,27962,2998,1790,1298,1106,1733,1727,0
217732,0,2,3,1,0,0,0,0,0,0,16732,252769,24788,20805,47954,20497,2431,6565,18560,2334,27888,371,0
83385,0,2,2,1,0,0,0,0,0,0,18705,17743,28189,20227,8199,24122,2986,1302,979,3535,1969,998,0
31214,1,1,2,1,0,0,0,0,0,0,8312,20640,53174,1649,36158,621,730,3816,1535,223,1084,1547,0
42443,1,3,2,1,3,2,-2,3,2,3,18242,33820,49513,36924,33397,34165,0,1254,1222,44,1824,45,1
281343,0,2,3,1,0,0,0,0,0,0,71495,265403,326139,453097,267602,39393,3803,12949,4381,290,19770,14823,0
58778,0,1,3,1,-1,-2,-1,-1,-1,-1,-2389,-689,-644,627,-2196,8871,0,659,1234,180,4508,1329,0
170768,0,2,2,1,0,0,2,0,0,0,144010,343755,130141,115477,84073,157344,18060,8415,3278,4055,2382,2144,0
502515,1,2,1,1,-2,-2,-2,-2,-2,-2,-1103,85,9220,2426,1811,15615,8497,4688,3958,100499,6164,5759,1
67188,0,2,2,1,2,2,2,2,2,2,648,37700,49897,15417,21003,39615,511,506,879,1915,1277,3717,1
95777,0,2,2,1,0,0,0,0,0,0,2995,-1330,561,-1258,753,967,141,1679,644,1413,193,727,0
273293,0,1,1,1,-2,-2,-2,-2,-2,-2,-1843,96,713,2676,-300,-2535,467,3,3135,697,141,5405,0
39996,0,1,2,0,0,0,0,-2,-2,-2,11782,1662,2573,964,-1822,-246,8841,1738,609,0,94,129,0
104109,1,3,2,1,2,0,0,0,-1,-1,79112,70800,491,2552,18394,20374,4282,2124,1733,6875,5452,1719,0
267871,1,1,2,1,0,0,0,0,2,2,233350,95597,115822,166175,178406,191303,6476,5831,3997,3504,4457,3994,0
107457,1,4,1,1,0,2,2,2,0,0,266357,186717,134907,156619,171692,135818,10320,8597,9254,501,4695,1042,0
45120,1,1,2,1,0,0,0,0,0,0,4006,10792,20390,6652,18685,5624,748,1510,353,8526,1863,485,0
135302,0,3,3,1,-1,-1,-1,-1,-1,0,-1419,-682,-564,1545,-293,11438,10152,1255,2981,1493,1874,1846,0
372453,1,3,1,1,0,0,0,0,2,0,13412,59158,59026,45095,37615,39613,3523,5173,46908,15698,28245,29807,0
10000,0,3,0,1,0,3,2,-1,-1,-1,2467,33098,-92,2208,2100,25702,301,0,980,522,302,82,0
99243,1,1,2,1,-1,-1,0,-1,-2,-2,590,9930,11883,525,3174,-1751,1375,1660,0,64,0,62,0
113703,1,1,1,1,1,-1,-1,-1,-1,0,-283,119,461,1308,-58,159,0,967,1076,1888,658,1436,0
106417,1,3,2,1,0,0,0,0,0,0,198123,85875,117849,98290,146912,29394,2651,4816,11526,1646,4222,6098,0
12521,1,1,2,1,0,0,2,0,0,2,7121,8927,62802,8404,8041,1843,3037,3440,2688,2463,18,972,0
120127,0,0,2,1,0,0,0,0,0,0,48773,47913,50695,43103,45816,38954,1784,1053,4045,1159,1258,174,0
101546,1,2,3,1,0,0,0,0,0,0,11583,30551,25470,50264,49513,42059,1829,2220,1170,947,1558,107,0
57512,0,1,2,1,-2,-2,-2,-2,-2,-2,-1936,10,1125,1824,-570,-322,0,163,517,0,460,312,0
127774,0,4,2,1,-2,-2,-2,-2,-2,-2,17810,31129,444,-185,743,-1244,105,5651,0,596,4315,0,0
39161,1,1,2,1,0,0,0,0,0,0,6068,11997,19628,42898,17338,7295,712,0,1610,12,833,2131,0
343660,1,2,1,1,0,0,0,0,0,0,313630,264458,338300,141419,191418,247484,8670,18380,12306,4657,7077,11467,1
28361,1,2,2,1,0,0,0,0,0,0,61946,36679,16258,9100,21179,8634,337,3877,229,706,1193,1149,0
197312,0,3,0,1,0,0,0,0,0,0,153072,141589,85665,122902,104631,67882,1833,12650,3166,5852,5499,7419,0
93919,0,2,2,1,2,0,0,2,2,2,14209,50140,60197,30642,8887,13993,3673,1444,898,970,1564,233,1
243748,0,1,1,1,1,-2,-2,-2,-2,-2,3146,1928,121,1366,-795,438,828,620,1157,0,1830,0,0
49060,1,5,2,1,0,0,0,0,0,0,23110,17609,23135,24779,16292,3262,11379,7718,897,563,697,132,0
489311,1,1,2,1,0,0,0,0,0,0,2007,12880,24543,8487,6134,16969,1411,2612,3273,2394,1453,265,0
83039,1,3,2,1,0,0,0,0,0,0,44940,47573,99384,39975,17115,62160,3019,1721,1110,1419,1636,536,0
81654,0,1,2,1,0,0,0,0,0,0,11185,27216,25043,23733,14663,1396,1407,5510,2394,1521,412,569,0
297168,1,3,1,1,0,0,2,-1,-1,0,13511,16705,974,1988,12665,7672,3410,1229,1913,4669,1656,242,0
87882,0,2,2,1,0,0,0,0,0,0,15093,43992,61230,15163,9737,34962,27060,7669,1872,39530,1344,4050,0
350611,1,1,2,1,-2,-2,-2,-2,-2,-2,-3396,-429,-1839,-993,-2253,-2178,23,1383,4,211,329,0,0
71598,0,3,0,1,0,0,-2,-1,-2,-1,10877,60577,1571,1971,520,1688,20920,731,541,128,0,0,0
249254,0,3,1,1,0,0,0,0,0,0,318766,142665,211073,194246,150942,90295,10633,12559,9334,1730,13356,78140,0
59672,0,2,1,1,-1,-1,-2,-2,-2,-2,10096,-520,-619,-181,5597,-989,1374,1430,3074,53,190,15838,0
91446,1,3,2,1,-1,-2,2,-1,-1,-1,25854,58070,20824,3026,1434,11076,789,1096,4630,3336,3612,2068,0
137286,1,3,1,1,1,2,0,0,0,0,279127,180927,127233,156286,133827,178563,3868,12345,4888,3152,4549,8281,1
142104,1,1,2,1,0,-1,-2,-1,-2,-1,13558,63613,2190,3829,2850,2122,3008,986,1630,1076,1430,842,0
70944,1,2,2,1,-1,-1,-1,-1,0,-1,-2968,-832,-1311,3317,148,599,687,1368,840,1317,0,461,0
97721,1,5,2,1,0,0,0,0,0,0,60304,76809,39026,43760,30325,43535,2485,1385,549,1121,872,1536,0
130930,1,5,2,1,0,0,0,0,0,0,55922,66995,53973,29428,30669,64017,2790,1465,1705,2233,3097,787,0
51751,1,2,3,1,0,0,0,0,0,0,18499,29584,12746,17315,5368,23532,496,1896,502,765,797,1188,0
