checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
>= 200 DM ,16,existing credits paid back duly till now,radio/television,286,<100 DM,>=7 years,4,none,3,unknown / no property,1,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
0 <= <200 DM,18,existing credits paid back duly till now,education,4462,<100 DM,<1 years,2,none,4,real estate,1,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,1
<0 DM,9,no credits taken,car (new),1952,<100 DM,>=7 years,4,none,2,savings agreement/life insurance,1,none,rent,1,unemployed/ unskilled  - non-resident,1,none,yes,0,divorced/separated,1
no account,22,existing credits paid back duly till now,business,722,500 <= < 1000 DM,1<= < 4 years,4,guarantor,3,savings agreement/life insurance,1,none,own,1,unskilled - resident,1,yes,yes,1,divorced/separated,0
no account,20,existing credits paid back duly till now,radio/television,2930,no savings account,unemployed,4,none,1,car or other,0,none,own,1,unskilled - resident,1,yes,yes,0,divorced/separated,1
no account,28,critical account,radio/television,1554,>= 1000 DM,unemployed,1,none,3,car or other,1,none,rent,1,unskilled - resident,1,yes,yes,0,divorced/separated,1
no account,4,critical account,domestic appliances,873,<100 DM,1<= < 4 years,4,none,4,real estate,0,none,own,1,unskilled - resident,1,yes,yes,1,divorced/separated,1
<0 DM,12,delay in paying off,radio/television,250,<100 DM,<1 years,1,none,3,real estate,0,store,rent,1,skilled employee / official,2,yes,yes,0,divorced/separated,1
<0 DM,23,existing credits paid back duly till now,car (new),7510,100 <= <500 DM,4<= <7 years,1,none,4,real estate,1,none,own,2,skilled employee / official,1,yes,yes,1,divorced/separated,1
0 <= <200 DM,14,critical account,radio/television,2888,<100 DM,unemployed,4,none,2,car or other,1,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
no account,22,critical account,car (new),3112,no savings account,unemployed,4,none,2,savings agreement/life insurance,1,none,own,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
<0 DM,14,all credits at this bank paid back duly,car (new),2528,no savings account,<1 years,1,none,4,real estate,1,bank,own,1,skilled employee / official,1,yes,yes,0,divorced/separated,0
<0 DM,15,existing credits paid back duly till now,radio/television,1015,no savings account,>=7 years,1,none,2,real estate,0,none,rent,1,skilled employee / official,2,yes,yes,1,divorced/separated,0
no account,6,critical account,education,818,<100 DM,1<= < 4 years,2,none,3,car or other,0,none,own,1,unskilled - resident,1,none,yes,1,divorced/separated,1
0 <= <200 DM,19,critical account,car (new),250,100 <= <500 DM,unemployed,3,none,2,real estate,1,none,own,1,unskilled - resident,1,none,yes,1,divorced/separated,1
no account,63,existing credits paid back duly till now,car (used),6661,<100 DM,>=7 years,4,none,4,real estate,1,bank,own,1,management/ highly qualified employee,1,yes,yes,1,divorced/separated,1
no account,17,delay in paying off,furniture/equipment,250,<100 DM,>=7 years,1,none,1,car or other,1,none,rent,1,skilled employee / official,1,none,yes,0,divorced/separated,1
no account,6,critical account,car (new),250,<100 DM,>=7 years,2,none,2,unknown / no property,1,none,rent,1,skilled employee / official,1,none,yes,1,divorced/separated,1
>= 200 DM ,11,delay in paying off,car (new),814,<100 DM,unemployed,2,none,2,real estate,1,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
<0 DM,4,critical account,business,5105,<100 DM,>=7 years,1,none,2,car or other,1,none,own,2,skilled employee / official,2,yes,yes,1,divorced/separated,0
0 <= <200 DM,4,critical account,furniture/equipment,1683,<100 DM,1<= < 4 years,4,none,2,car or other,0,none,own,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
0 <= <200 DM,6,critical account,car (new),2077,no savings account,1<= < 4 years,1,none,4,real estate,1,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,1
no account,27,existing credits paid back duly till now,furniture/equipment,692,no savings account,unemployed,3,none,1,real estate,1,none,own,1,skilled employee / official,1,yes,yes,0,married/widowed,1
no account,22,all credits at this bank paid back duly,radio/television,7530,<100 DM,>=7 years,4,co-applicant,3,real estate,0,none,own,2,management/ highly qualified employee,1,none,yes,1,divorced/separated,1
0 <= <200 DM,26,existing credits paid back duly till now,furniture/equipment,3078,100 <= <500 DM,>=7 years,4,none,1,real estate,0,none,for free,1,skilled employee / official,1,yes,yes,1,divorced/separated,0
0 <= <200 DM,4,critical account,radio/television,4607,no savings account,unemployed,3,none,1,real estate,1,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
0 <= <200 DM,23,existing credits paid back duly till now,radio/television,2333,<100 DM,unemployed,2,none,2,car or other,1,none,own,1,skilled employee / official,1,yes,yes,1,married/widowed,0
0 <= <200 DM,24,critical account,repairs,2138,<100 DM,1<= < 4 years,1,none,4,unknown / no property,1,bank,own,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
no account,4,existing credits paid back duly till now,radio/television,1418,<100 DM,1<= < 4 years,2,none,2,savings agreement/life insurance,1,none,own,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
no account,12,critical account,radio/television,5148,500 <= < 1000 DM,1<= < 4 years,3,none,4,car or other,1,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
no account,29,delay in paying off,business,1909,<100 DM,>=7 years,4,none,2,car or other,1,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,0
no account,27,critical account,radio/television,1527,<100 DM,<1 years,4,none,3,car or other,0,none,own,2,skilled employee / official,1,none,yes,0,divorced/separated,1
no account,24,critical account,repairs,250,<100 DM,>=7 years,1,none,4,car or other,0,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,1
0 <= <200 DM,22,critical account,furniture/equipment,868,<100 DM,>=7 years,2,none,2,real estate,1,bank,own,1,unskilled - resident,1,none,no,1,divorced/separated,1
0 <= <200 DM,9,critical account,radio/television,988,<100 DM,>=7 years,4,none,4,car or other,1,bank,own,1,skilled employee / official,1,yes,yes,0,divorced/separated,1
no account,21,critical account,furniture/equipment,434,<100 DM,unemployed,4,none,1,car or other,0,none,rent,2,skilled employee / official,1,none,yes,0,married/widowed,1
<0 DM,34,existing credits paid back duly till now,furniture/equipment,3512,<100 DM,<1 years,2,none,3,real estate,1,store,for free,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
0 <= <200 DM,23,existing credits paid back duly till now,education,250,500 <= < 1000 DM,<1 years,4,none,4,real estate,0,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,1
<0 DM,39,critical account,car (new),6672,<100 DM,1<= < 4 years,2,none,1,car or other,1,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,0
0 <= <200 DM,35,critical account,radio/television,671,<100 DM,>=7 years,4,none,4,car or other,0,none,own,1,unemployed/ unskilled  - non-resident,1,yes,yes,0,divorced/separated,0
0 <= <200 DM,22,critical account,radio/television,10213,no savings account,1<= < 4 years,2,none,3,real estate,1,none,rent,1,skilled employee / official,1,none,yes,0,divorced/separated,1
<0 DM,34,existing credits paid back duly till now,domestic appliances,250,<100 DM,<1 years,1,none,3,real estate,1,bank,own,1,skilled employee / official,2,yes,yes,1,divorced/separated,1
<0 DM,16,no credits taken,car (used),1520,>= 1000 DM,1<= < 4 years,4,none,4,real estate,1,none,own,1,unskilled - resident,1,yes,yes,0,divorced/separated,1
<0 DM,19,critical account,car (used),3649,<100 DM,>=7 years,4,none,4,car or other,0,none,own,1,unskilled - resident,1,none,yes,0,divorced/separated,1
>= 200 DM ,13,all credits at this bank paid back duly,radio/television,1908,<100 DM,>=7 years,1,none,4,car or other,1,none,own,2,unskilled - resident,1,none,yes,1,divorced/separated,1
>= 200 DM ,15,existing credits paid back duly till now,furniture/equipment,667,100 <= <500 DM,>=7 years,2,none,2,savings agreement/life insurance,1,none,own,2,management/ highly qualified employee,1,yes,yes,0,divorced/separated,1
no account,22,existing credits paid back duly till now,furniture/equipment,1390,100 <= <500 DM,>=7 years,2,none,3,real estate,0,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,0
no account,15,critical account,business,2342,500 <= < 1000 DM,<1 years,1,none,2,real estate,1,none,own,3,skilled employee / official,1,yes,yes,0,divorced/separated,1
no account,23,existing credits paid back duly till now,business,250,<100 DM,1<= < 4 years,4,none,2,car or other,1,none,own,1,skilled employee / official,2,yes,yes,1,divorced/separated,1
0 <= <200 DM,29,existing credits paid back duly till now,furniture/equipment,8837,<100 DM,>=7 years,2,none,1,unknown / no property,1,none,own,1,management/ highly qualified employee,1,none,yes,1,divorced/separated,0
<0 DM,30,critical account,radio/television,2459,no savings account,4<= <7 years,4,none,2,real estate,0,store,own,1,unskilled - resident,1,yes,yes,1,divorced/separated,1
no account,18,critical account,car (new),968,no savings account,1<= < 4 years,3,none,2,savings agreement/life insurance,0,none,own,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
>= 200 DM ,9,delay in paying off,furniture/equipment,1565,<100 DM,>=7 years,4,none,4,car or other,0,bank,own,2,skilled employee / official,1,yes,yes,1,married/widowed,1
<0 DM,4,existing credits paid back duly till now,others,2753,<100 DM,1<= < 4 years,4,none,1,real estate,1,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
0 <= <200 DM,6,all credits at this bank paid back duly,furniture/equipment,471,<100 DM,1<= < 4 years,1,none,4,car or other,1,none,rent,1,management/ highly qualified employee,1,none,yes,0,divorced/separated,1
>= 200 DM ,13,existing credits paid back duly till now,radio/television,4999,no savings account,1<= < 4 years,2,none,4,car or other,1,none,rent,1,unskilled - resident,1,none,yes,0,divorced/separated,0
no account,20,critical account,business,250,<100 DM,unemployed,4,none,4,car or other,1,bank,own,1,skilled employee / official,1,none,no,1,divorced/separated,0
no account,21,critical account,business,866,no savings account,1<= < 4 years,4,guarantor,3,real estate,0,none,own,2,skilled employee / official,1,yes,no,0,divorced/separated,0
no account,4,critical account,furniture/equipment,2541,<100 DM,1<= < 4 years,1,none,1,unknown / no property,1,store,own,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
<0 DM,64,existing credits paid back duly till now,domestic appliances,840,<100 DM,<1 years,3,none,2,car or other,1,none,own,1,management/ highly qualified employee,1,none,yes,1,divorced/separated,0
no account,21,existing credits paid back duly till now,furniture/equipment,250,no savings account,<1 years,1,none,4,real estate,0,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
no account,4,no credits taken,furniture/equipment,6056,<100 DM,1<= < 4 years,1,none,1,real estate,1,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,1
no account,25,existing credits paid back duly till now,business,12461,no savings account,1<= < 4 years,4,none,4,car or other,0,none,own,1,unskilled - resident,1,none,yes,0,married/widowed,1
<0 DM,15,existing credits paid back duly till now,radio/television,4006,<100 DM,1<= < 4 years,2,none,4,car or other,1,none,own,1,management/ highly qualified employee,1,none,yes,1,divorced/separated,0
no account,23,critical account,radio/television,1285,<100 DM,4<= <7 years,1,none,2,real estate,1,bank,own,1,skilled employee / official,1,none,yes,0,divorced/separated,1
0 <= <200 DM,71,critical account,education,1405,<100 DM,1<= < 4 years,2,none,2,real estate,1,none,own,1,unskilled - resident,1,yes,yes,1,divorced/separated,1
<0 DM,24,existing credits paid back duly till now,car (new),1222,<100 DM,1<= < 4 years,4,none,3,savings agreement/life insurance,0,none,rent,1,management/ highly qualified employee,1,none,yes,0,divorced/separated,1
no account,5,critical account,car (new),9417,500 <= < 1000 DM,>=7 years,4,none,3,car or other,0,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
<0 DM,13,delay in paying off,car (new),908,100 <= <500 DM,<1 years,4,none,4,car or other,1,bank,for free,1,unskilled - resident,1,none,yes,1,divorced/separated,0
no account,9,existing credits paid back duly till now,business,1444,no savings account,1<= < 4 years,3,none,4,savings agreement/life insurance,1,none,own,1,skilled employee / official,1,yes,yes,0,married/widowed,1
<0 DM,7,existing credits paid back duly till now,furniture/equipment,14502,100 <= <500 DM,1<= < 4 years,4,co-applicant,1,car or other,1,none,rent,1,skilled employee / official,1,none,yes,1,divorced/separated,1
<0 DM,22,critical account,radio/television,2476,no savings account,>=7 years,4,none,4,real estate,0,none,own,1,skilled employee / official,2,yes,yes,1,married/widowed,1
no account,29,existing credits paid back duly till now,furniture/equipment,6063,>= 1000 DM,<1 years,3,none,2,savings agreement/life insurance,1,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,1
no account,18,all credits at this bank paid back duly,radio/television,250,<100 DM,1<= < 4 years,4,none,2,car or other,1,none,own,3,management/ highly qualified employee,1,none,yes,1,divorced/separated,1
0 <= <200 DM,23,existing credits paid back duly till now,radio/television,2819,>= 1000 DM,>=7 years,3,none,1,car or other,0,none,own,3,skilled employee / official,1,none,yes,1,divorced/separated,1
0 <= <200 DM,20,existing credits paid back duly till now,car (new),1568,<100 DM,<1 years,4,none,4,car or other,0,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
<0 DM,12,existing credits paid back duly till now,others,2514,<100 DM,4<= <7 years,3,none,4,unknown / no property,0,none,rent,1,skilled employee / official,1,none,yes,1,divorced/separated,1
<0 DM,4,critical account,car (new),523,<100 DM,<1 years,2,guarantor,2,savings agreement/life insurance,1,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,0
no account,24,existing credits paid back duly till now,radio/television,1024,500 <= < 1000 DM,>=7 years,4,none,2,car or other,0,none,own,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
0 <= <200 DM,20,critical account,business,2838,<100 DM,1<= < 4 years,4,none,4,car or other,1,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
no account,4,existing credits paid back duly till now,radio/television,2463,<100 DM,<1 years,2,none,2,car or other,1,bank,own,2,skilled employee / official,1,none,yes,1,divorced/separated,1
no account,23,no credits taken,furniture/equipment,761,<100 DM,<1 years,3,guarantor,1,unknown / no property,0,none,own,1,skilled employee / official,1,yes,no,1,divorced/separated,1
no account,23,existing credits paid back duly till now,furniture/equipment,250,<100 DM,1<= < 4 years,2,none,4,car or other,1,bank,for free,1,management/ highly qualified employee,1,none,yes,0,divorced/separated,1
>= 200 DM ,18,no credits taken,radio/television,2908,<100 DM,<1 years,3,none,4,real estate,0,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,1
no account,11,existing credits paid back duly till now,radio/television,926,100 <= <500 DM,1<= < 4 years,1,none,2,real estate,1,bank,own,2,skilled employee / official,1,none,yes,0,divorced/separated,1
no account,4,existing credits paid back duly till now,radio/television,4780,<100 DM,1<= < 4 years,4,none,4,unknown / no property,1,none,own,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
no account,41,existing credits paid back duly till now,car (new),2762,no savings account,1<= < 4 years,1,co-applicant,2,real estate,0,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
no account,27,critical account,car (new),250,>= 1000 DM,1<= < 4 years,4,none,4,real estate,0,none,own,1,unskilled - resident,1,none,yes,1,divorced/separated,1
no account,18,no credits taken,education,2437,<100 DM,4<= <7 years,2,none,2,car or other,1,none,for free,2,unskilled - resident,1,yes,yes,0,divorced/separated,1
>= 200 DM ,23,critical account,radio/television,2566,<100 DM,<1 years,4,none,2,savings agreement/life insurance,0,bank,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
<0 DM,10,critical account,car (used),1880,<100 DM,1<= < 4 years,4,none,4,savings agreement/life insurance,0,none,own,1,skilled employee / official,2,yes,yes,1,divorced/separated,1
no account,23,delay in paying off,car (used),884,>= 1000 DM,1<= < 4 years,4,none,2,car or other,0,none,own,1,skilled employee / official,1,yes,yes,0,divorced/separated,0
no account,25,critical account,furniture/equipment,2674,no savings account,1<= < 4 years,4,co-applicant,2,savings agreement/life insurance,0,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,0
<0 DM,26,critical account,car (new),1447,<100 DM,4<= <7 years,2,none,2,car or other,1,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,0
no account,20,critical account,car (new),396,no savings account,>=7 years,4,none,2,car or other,0,none,own,1,skilled employee / official,1,yes,yes,0,divorced/separated,0
no account,28,no credits taken,radio/television,1738,<100 DM,1<= < 4 years,2,none,4,savings agreement/life insurance,1,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
no account,4,critical account,radio/television,250,<100 DM,>=7 years,4,none,1,real estate,1,bank,own,2,skilled employee / official,2,none,yes,1,divorced/separated,1
no account,15,critical account,furniture/equipment,2006,<100 DM,<1 years,1,none,3,real estate,1,none,own,1,skilled employee / official,1,yes,yes,0,divorced/separated,1
no account,36,critical account,radio/television,5518,<100 DM,1<= < 4 years,1,none,2,car or other,1,none,for free,2,skilled employee / official,1,none,yes,0,divorced/separated,1
<0 DM,21,existing credits paid back duly till now,furniture/equipment,430,no savings account,<1 years,3,none,4,car or other,1,store,for free,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
no account,20,existing credits paid back duly till now,furniture/equipment,9887,500 <= < 1000 DM,<1 years,2,none,2,savings agreement/life insurance,0,none,own,1,skilled employee / official,1,none,yes,1,married/widowed,1
>= 200 DM ,4,critical account,car (used),6464,<100 DM,>=7 years,2,co-applicant,2,real estate,0,none,own,1,unskilled - resident,2,none,yes,1,divorced/separated,0
no account,23,all credits at this bank paid back duly,car (new),977,<100 DM,unemployed,2,none,3,real estate,1,none,own,1,management/ highly qualified employee,1,none,yes,1,divorced/separated,1
no account,22,no credits taken,repairs,3424,<100 DM,4<= <7 years,2,co-applicant,4,savings agreement/life insurance,0,none,own,2,management/ highly qualified employee,2,yes,yes,1,divorced/separated,1
no account,27,delay in paying off,furniture/equipment,2276,100 <= <500 DM,4<= <7 years,1,guarantor,3,real estate,1,none,own,1,skilled employee / official,1,none,yes,1,married/widowed,1
no account,21,critical account,radio/television,413,500 <= < 1000 DM,>=7 years,1,none,2,car or other,0,none,rent,1,unskilled - resident,1,yes,yes,1,divorced/separated,1
0 <= <200 DM,4,critical account,repairs,7913,<100 DM,>=7 years,1,none,4,real estate,0,store,own,1,unemployed/ unskilled  - non-resident,1,none,yes,0,divorced/separated,1
<0 DM,22,critical account,furniture/equipment,250,<100 DM,4<= <7 years,2,none,4,car or other,1,bank,own,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
0 <= <200 DM,28,existing credits paid back duly till now,education,250,500 <= < 1000 DM,>=7 years,3,none,4,car or other,1,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
<0 DM,15,critical account,furniture/equipment,250,<100 DM,>=7 years,3,none,4,real estate,1,none,rent,1,unskilled - resident,2,yes,yes,1,divorced/separated,1
0 <= <200 DM,23,existing credits paid back duly till now,furniture/equipment,6152,>= 1000 DM,1<= < 4 years,2,none,4,car or other,1,bank,own,1,unskilled - resident,1,none,yes,0,divorced/separated,1
no account,24,existing credits paid back duly till now,car (new),645,<100 DM,1<= < 4 years,3,none,2,car or other,0,bank,own,2,skilled employee / official,2,yes,yes,0,divorced/separated,1
no account,24,critical account,car (new),2909,<100 DM,<1 years,2,none,3,unknown / no property,0,bank,own,1,skilled employee / official,1,yes,yes,1,divorced/separated,0
no account,27,delay in paying off,car (new),923,<100 DM,unemployed,4,none,4,car or other,1,store,own,2,management/ highly qualified employee,1,none,yes,1,married/widowed,1
no account,21,critical account,furniture/equipment,608,<100 DM,unemployed,1,none,2,real estate,0,none,rent,2,skilled employee / official,1,yes,yes,0,divorced/separated,1
0 <= <200 DM,26,critical account,radio/television,5888,<100 DM,>=7 years,1,none,4,car or other,1,none,own,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
>= 200 DM ,23,existing credits paid back duly till now,others,2882,<100 DM,1<= < 4 years,2,co-applicant,3,car or other,0,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
no account,21,existing credits paid back duly till now,business,250,<100 DM,1<= < 4 years,2,none,4,car or other,1,none,own,1,unskilled - resident,1,yes,yes,1,divorced/separated,1
0 <= <200 DM,8,delay in paying off,radio/television,1497,<100 DM,1<= < 4 years,2,none,4,real estate,0,none,own,2,management/ highly qualified employee,1,yes,yes,0,divorced/separated,1
<0 DM,21,existing credits paid back duly till now,car (used),2068,no savings account,4<= <7 years,3,guarantor,2,savings agreement/life insurance,0,none,for free,2,skilled employee / official,1,none,yes,1,divorced/separated,1
<0 DM,24,delay in paying off,repairs,453,<100 DM,<1 years,3,none,2,savings agreement/life insurance,1,none,rent,1,skilled employee / official,1,none,no,0,divorced/separated,1
0 <= <200 DM,17,existing credits paid back duly till now,retraining,2886,<100 DM,>=7 years,4,guarantor,2,real estate,0,store,own,1,skilled employee / official,1,yes,no,1,divorced/separated,1
no account,24,delay in paying off,business,2682,<100 DM,4<= <7 years,2,none,4,real estate,1,bank,own,1,unskilled - resident,1,none,yes,0,divorced/separated,1
<0 DM,55,existing credits paid back duly till now,others,300,100 <= <500 DM,4<= <7 years,3,none,2,car or other,0,none,own,2,management/ highly qualified employee,1,yes,yes,1,divorced/separated,0
