checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
0 <= <200 DM,12.0,existing credits paid back duly till now,car (used),2506.2095,no savings account,>=7 years,4.0,guarantor,1.0,unknown / no property,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,0
no account,30.0,existing credits paid back duly till now,car (new),12469.642,<100 DM,1<= < 4 years,2.0,none,4.0,real estate,25<=x<=65,bank,for free,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,15.0,existing credits paid back duly till now,car (new),4248.7793,no savings account,>=7 years,3.0,none,4.0,unknown / no property,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
<0 DM,36.0,existing credits paid back duly till now,car (new),1577.8702,>= 1000 DM,1<= < 4 years,1.0,none,2.0,savings agreement/life insurance,25<=x<=65,none,own,1.0,unskilled - resident,1.0,yes,yes,female,divorced/separated,0
<0 DM,9.0,critical account,furniture/equipment,6586.9224,no savings account,>=7 years,1.0,none,2.0,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,1
no account,62.652824,existing credits paid back duly till now,car (used),18424.0,no savings account,4<= <7 years,4.0,none,1.0,savings agreement/life insurance,25<=x<=65,none,for free,2.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,72.0,critical account,furniture/equipment,2193.5894,<100 DM,4<= <7 years,4.0,none,4.0,car or other,25<=x<=65,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,9.0,existing credits paid back duly till now,car (used),1257.5153,<100 DM,1<= < 4 years,3.0,none,1.0,car or other,25<=x<=65,store,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
no account,12.0,all credits at this bank paid back duly,car (used),3009.2136,<100 DM,>=7 years,4.0,none,1.0,unknown / no property,25<=x<=65,none,rent,2.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,72.0,existing credits paid back duly till now,radio/television,3960.0872,no savings account,>=7 years,4.0,none,4.0,car or other,25<=x<=65,none,own,1.0,unskilled - resident,1.0,yes,yes,male,married/widowed,1
<0 DM,36.0,existing credits paid back duly till now,car (new),3572.8552,<100 DM,1<= < 4 years,3.0,none,2.0,car or other,25<=x<=65,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,12.0,delay in paying off,furniture/equipment,931.4796,no savings account,<1 years,2.0,none,2.0,savings agreement/life insurance,25<=x<=65,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
<0 DM,24.0,existing credits paid back duly till now,repairs,2031.73,<100 DM,1<= < 4 years,4.0,none,2.0,car or other,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,23.167366,existing credits paid back duly till now,car (new),4225.3203,<100 DM,4<= <7 years,2.5813155,none,4.0,unknown / no property,25<=x<=65,none,for free,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
0 <= <200 DM,18.0,delay in paying off,furniture/equipment,418.42572,no savings account,>=7 years,4.0,none,3.0,savings agreement/life insurance,x<25 or x>65,none,own,4.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,9.0,existing credits paid back duly till now,furniture/equipment,3182.2417,no savings account,>=7 years,2.0,none,4.0,savings agreement/life insurance,25<=x<=65,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,female,divorced/separated,1
0 <= <200 DM,9.062918,existing credits paid back duly till now,car (new),1102.5138,no savings account,<1 years,4.0,none,2.0,savings agreement/life insurance,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,18.0,critical account,furniture/equipment,1291.936,<100 DM,4<= <7 years,2.0,none,4.0,unknown / no property,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,8.393194,no credits taken,furniture/equipment,1482.2119,<100 DM,4<= <7 years,2.0,co-applicant,4.0,car or other,x<25 or x>65,bank,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
no account,4.0,critical account,radio/television,827.7205,100 <= <500 DM,<1 years,1.7850281,none,1.0,unknown / no property,25<=x<=65,none,rent,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
<0 DM,18.0,critical account,car (new),1262.4371,no savings account,>=7 years,3.0,none,4.0,car or other,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,0
<0 DM,24.0,existing credits paid back duly till now,furniture/equipment,18424.0,500 <= < 1000 DM,1<= < 4 years,4.0,none,2.0,real estate,25<=x<=65,none,for free,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
0 <= <200 DM,4.0,existing credits paid back duly till now,education,1764.1818,<100 DM,4<= <7 years,4.0,none,2.0,car or other,25<=x<=65,none,for free,1.0,unskilled - resident,1.0,yes,yes,female,divorced/separated,1
no account,12.0,existing credits paid back duly till now,radio/television,1570.9188,<100 DM,1<= < 4 years,4.0,none,1.0,savings agreement/life insurance,25<=x<=65,none,own,3.0,management/ highly qualified employee,1.0,none,yes,female,divorced/separated,0
0 <= <200 DM,12.0,critical account,car (used),6039.1714,no savings account,>=7 years,4.0,none,2.0,real estate,x<25 or x>65,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,female,married/widowed,0
<0 DM,4.0,existing credits paid back duly till now,radio/television,2668.7893,no savings account,>=7 years,2.0,none,4.0,car or other,25<=x<=65,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,13.133408,critical account,furniture/equipment,250.0,100 <= <500 DM,1<= < 4 years,4.0,none,1.0,car or other,25<=x<=65,none,rent,2.455383,skilled employee / official,1.0,yes,yes,female,divorced/separated,1
no account,14.137901,critical account,car (new),4672.5127,<100 DM,1<= < 4 years,1.0,none,4.0,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,15.0,existing credits paid back duly till now,radio/television,2334.6887,<100 DM,>=7 years,3.0,none,3.0,car or other,25<=x<=65,bank,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,72.0,delay in paying off,retraining,2526.3362,no savings account,4<= <7 years,2.0,none,2.0,real estate,25<=x<=65,bank,for free,2.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,30.923347,existing credits paid back duly till now,radio/television,10851.176,<100 DM,4<= <7 years,2.0,none,3.0,car or other,25<=x<=65,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,4.0,existing credits paid back duly till now,furniture/equipment,1686.3228,100 <= <500 DM,<1 years,4.0,none,4.0,savings agreement/life insurance,25<=x<=65,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
<0 DM,29.899298,existing credits paid back duly till now,repairs,1810.1895,500 <= < 1000 DM,<1 years,4.0,none,3.5815825,unknown / no property,25<=x<=65,bank,for free,2.0,unemployed/ unskilled  - non-resident,1.0,yes,yes,female,divorced/separated,0
no account,6.0,critical account,radio/television,2295.1758,no savings account,4<= <7 years,4.0,none,3.0,car or other,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,48.0,critical account,radio/television,2369.84,no savings account,>=7 years,4.0,none,2.0,real estate,25<=x<=65,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
0 <= <200 DM,36.0,critical account,furniture/equipment,3419.6948,500 <= < 1000 DM,unemployed,4.0,none,3.0,savings agreement/life insurance,25<=x<=65,bank,own,2.0,unemployed/ unskilled  - non-resident,1.0,none,yes,male,divorced/separated,0
0 <= <200 DM,6.0,critical account,car (new),250.0,no savings account,>=7 years,4.0,none,3.0,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,15.0,existing credits paid back duly till now,furniture/equipment,919.35315,<100 DM,<1 years,2.0,none,2.0,unknown / no property,x<25 or x>65,bank,rent,1.0,management/ highly qualified employee,1.0,none,yes,female,divorced/separated,1
no account,15.0,existing credits paid back duly till now,education,2087.5354,no savings account,>=7 years,4.0,none,1.0,savings agreement/life insurance,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,female,married/widowed,0
<0 DM,6.0,existing credits paid back duly till now,furniture/equipment,3583.0164,no savings account,1<= < 4 years,4.0,none,2.0,savings agreement/life insurance,25<=x<=65,bank,rent,1.0,skilled employee / official,1.0,none,no,male,divorced/separated,0
no account,48.0,delay in paying off,radio/television,2125.3247,no savings account,1<= < 4 years,4.0,none,4.0,real estate,25<=x<=65,none,own,2.0,skilled employee / official,1.0,none,yes,female,married/widowed,0
no account,16.852322,existing credits paid back duly till now,car (new),18424.0,<100 DM,1<= < 4 years,2.0,none,4.0,car or other,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,12.0,critical account,furniture/equipment,5512.8184,no savings account,<1 years,3.0,none,3.0,real estate,25<=x<=65,bank,own,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,1
no account,24.0,all credits at this bank paid back duly,business,3012.5159,<100 DM,>=7 years,4.0,none,2.0,unknown / no property,25<=x<=65,none,rent,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,72.0,critical account,radio/television,18424.0,<100 DM,4<= <7 years,4.0,none,3.5166378,car or other,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,72.0,critical account,furniture/equipment,3067.2397,no savings account,<1 years,4.0,none,2.0,car or other,25<=x<=65,none,for free,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,0
<0 DM,8.400466,delay in paying off,furniture/equipment,8625.2705,100 <= <500 DM,<1 years,1.9149724,none,4.0,savings agreement/life insurance,25<=x<=65,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,0
no account,12.0,existing credits paid back duly till now,car (new),7292.5347,<100 DM,>=7 years,4.0,none,2.0,real estate,x<25 or x>65,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,0
<0 DM,12.0,existing credits paid back duly till now,furniture/equipment,18424.0,<100 DM,4<= <7 years,4.0,none,2.0,car or other,x<25 or x>65,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
0 <= <200 DM,4.0,existing credits paid back duly till now,car (used),250.0,100 <= <500 DM,1<= < 4 years,4.0,none,2.0,car or other,25<=x<=65,none,own,1.0,management/ highly qualified employee,1.0,none,yes,female,divorced/separated,1
0 <= <200 DM,24.0,existing credits paid back duly till now,radio/television,8126.884,no savings account,4<= <7 years,4.0,none,2.0,real estate,25<=x<=65,none,for free,4.0,management/ highly qualified employee,1.0,yes,yes,male,married/widowed,0
no account,36.0,existing credits paid back duly till now,radio/television,1262.317,no savings account,1<= < 4 years,3.0,none,3.0,unknown / no property,x<25 or x>65,none,own,2.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
no account,18.0,existing credits paid back duly till now,radio/television,2604.652,>= 1000 DM,1<= < 4 years,1.3709913,none,2.0,car or other,25<=x<=65,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
no account,72.0,existing credits paid back duly till now,education,9739.987,100 <= <500 DM,4<= <7 years,4.0,co-applicant,2.0,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,yes,no,male,married/widowed,1
no account,36.0,existing credits paid back duly till now,furniture/equipment,1477.082,no savings account,4<= <7 years,4.0,none,4.0,real estate,x<25 or x>65,none,own,4.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,9.0,existing credits paid back duly till now,radio/television,1326.2681,no savings account,<1 years,4.0,none,2.0,savings agreement/life insurance,x<25 or x>65,store,own,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,0
0 <= <200 DM,28.737158,all credits at this bank paid back duly,radio/television,12239.935,<100 DM,1<= < 4 years,4.0,none,1.0,car or other,25<=x<=65,none,own,2.0,skilled employee / official,1.0,none,yes,male,married/widowed,1
no account,12.0,critical account,radio/television,3091.0815,<100 DM,<1 years,4.0,none,1.0,savings agreement/life insurance,x<25 or x>65,none,own,1.0,skilled employee / official,1.0,none,yes,male,married/widowed,0
0 <= <200 DM,4.0,critical account,furniture/equipment,1659.7275,<100 DM,>=7 years,4.0,co-applicant,3.0,savings agreement/life insurance,x<25 or x>65,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,6.0,delay in paying off,car (new),18424.0,<100 DM,>=7 years,2.0,none,4.0,real estate,25<=x<=65,none,own,1.0,unemployed/ unskilled  - non-resident,1.0,yes,yes,male,divorced/separated,1
no account,18.0,existing credits paid back duly till now,car (new),3563.5742,100 <= <500 DM,1<= < 4 years,2.0,none,1.0,unknown / no property,25<=x<=65,bank,for free,1.0,unemployed/ unskilled  - non-resident,1.0,none,yes,male,divorced/separated,0
no account,24.0,all credits at this bank paid back duly,domestic appliances,18424.0,<100 DM,>=7 years,4.0,co-applicant,4.0,car or other,25<=x<=65,none,own,2.0,unemployed/ unskilled  - non-resident,1.0,none,yes,male,divorced/separated,1
no account,12.0,existing credits paid back duly till now,car (new),18424.0,100 <= <500 DM,<1 years,4.0,none,2.0,unknown / no property,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,24.0,delay in paying off,furniture/equipment,18424.0,<100 DM,1<= < 4 years,4.0,none,1.0,real estate,x<25 or x>65,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
no account,24.0,critical account,car (used),1923.8336,100 <= <500 DM,>=7 years,4.0,none,3.0,real estate,x<25 or x>65,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,0
<0 DM,18.0,existing credits paid back duly till now,car (used),1332.989,no savings account,>=7 years,2.0,none,4.0,real estate,25<=x<=65,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,6.0,delay in paying off,furniture/equipment,250.0,no savings account,>=7 years,1.0,none,4.0,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,72.0,critical account,repairs,18424.0,<100 DM,unemployed,2.0,none,1.0,car or other,25<=x<=65,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
<0 DM,12.0,existing credits paid back duly till now,furniture/equipment,4206.609,no savings account,1<= < 4 years,2.0,none,2.0,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,6.0,existing credits paid back duly till now,radio/television,2134.0305,no savings account,<1 years,1.0,none,1.0,car or other,25<=x<=65,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,0
>= 200 DM ,12.0,delay in paying off,car (new),1940.831,<100 DM,>=7 years,4.0,none,4.0,car or other,25<=x<=65,none,own,2.0,skilled employee / official,1.0,yes,yes,female,married/widowed,1
<0 DM,72.0,existing credits paid back duly till now,car (new),2388.0786,no savings account,1<= < 4 years,4.0,none,3.0,car or other,x<25 or x>65,bank,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,12.0,critical account,car (new),18424.0,<100 DM,4<= <7 years,4.0,none,2.0,real estate,25<=x<=65,bank,for free,1.0,unemployed/ unskilled  - non-resident,1.0,none,yes,male,divorced/separated,1
no account,4.0,existing credits paid back duly till now,furniture/equipment,18424.0,<100 DM,unemployed,4.0,none,4.0,unknown / no property,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,female,married/widowed,0
no account,12.0,existing credits paid back duly till now,furniture/equipment,1248.4819,<100 DM,<1 years,2.0,none,3.0,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,24.0,critical account,radio/television,250.0,500 <= < 1000 DM,>=7 years,4.0,none,4.0,car or other,25<=x<=65,none,own,4.0,management/ highly qualified employee,1.0,yes,yes,male,divorced/separated,0
no account,48.0,delay in paying off,car (new),1466.1536,100 <= <500 DM,>=7 years,4.0,none,2.0,savings agreement/life insurance,x<25 or x>65,none,own,2.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
no account,4.0,delay in paying off,radio/television,250.0,100 <= <500 DM,4<= <7 years,4.0,none,2.0,real estate,25<=x<=65,none,own,2.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
0 <= <200 DM,72.0,existing credits paid back duly till now,car (new),18424.0,500 <= < 1000 DM,>=7 years,1.0,none,2.0,real estate,25<=x<=65,none,for free,2.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,9.0,existing credits paid back duly till now,car (used),5982.013,<100 DM,>=7 years,2.0,none,2.0,savings agreement/life insurance,25<=x<=65,bank,own,1.0,unemployed/ unskilled  - non-resident,1.0,yes,yes,male,divorced/separated,1
>= 200 DM ,12.0,no credits taken,furniture/equipment,8044.247,<100 DM,4<= <7 years,4.0,none,4.0,savings agreement/life insurance,25<=x<=65,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
no account,24.0,existing credits paid back duly till now,radio/television,1222.8864,>= 1000 DM,unemployed,3.0,none,2.0,real estate,25<=x<=65,none,rent,1.0,unskilled - resident,1.0,yes,yes,male,married/widowed,1
<0 DM,9.0,existing credits paid back duly till now,car (new),1285.6688,no savings account,1<= < 4 years,4.0,none,4.0,savings agreement/life insurance,25<=x<=65,none,own,1.0,unskilled - resident,1.0,none,yes,female,divorced/separated,1
<0 DM,4.0,critical account,domestic appliances,629.6931,no savings account,>=7 years,4.0,none,3.0,car or other,x<25 or x>65,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,11.01992,existing credits paid back duly till now,furniture/equipment,921.7205,500 <= < 1000 DM,1<= < 4 years,1.0,none,3.0,car or other,x<25 or x>65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
>= 200 DM ,20.668776,critical account,domestic appliances,2411.1545,<100 DM,unemployed,4.0,co-applicant,2.0,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,no,male,divorced/separated,0
<0 DM,9.920566,existing credits paid back duly till now,furniture/equipment,704.24664,<100 DM,4<= <7 years,4.0,none,2.0,real estate,x<25 or x>65,none,own,1.0,unskilled - resident,1.0,none,yes,female,divorced/separated,0
no account,72.0,existing credits paid back duly till now,furniture/equipment,1491.0464,100 <= <500 DM,>=7 years,4.0,none,4.0,unknown / no property,25<=x<=65,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,24.0,existing credits paid back duly till now,car (new),2683.7266,no savings account,1<= < 4 years,1.0,guarantor,4.0,unknown / no property,x<25 or x>65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,9.0,existing credits paid back duly till now,furniture/equipment,688.57605,no savings account,<1 years,4.0,none,2.0,unknown / no property,25<=x<=65,none,own,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,0
no account,21.0,existing credits paid back duly till now,radio/television,9519.857,>= 1000 DM,<1 years,4.0,none,4.0,real estate,25<=x<=65,bank,own,1.0,skilled employee / official,1.0,none,yes,male,married/widowed,1
no account,15.0,existing credits paid back duly till now,car (used),1563.0984,no savings account,1<= < 4 years,4.0,none,2.0,real estate,25<=x<=65,bank,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,18.0,all credits at this bank paid back duly,car (new),250.0,<100 DM,4<= <7 years,4.0,guarantor,4.0,car or other,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,female,married/widowed,1
<0 DM,72.0,delay in paying off,car (new),2309.5051,<100 DM,>=7 years,4.0,none,3.0,unknown / no property,25<=x<=65,bank,own,4.0,management/ highly qualified employee,1.0,yes,yes,female,divorced/separated,1
<0 DM,24.0,existing credits paid back duly till now,business,18424.0,<100 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,25<=x<=65,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
0 <= <200 DM,72.0,critical account,car (new),3289.317,no savings account,4<= <7 years,3.0,none,2.0,car or other,25<=x<=65,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,0
no account,15.440789,all credits at this bank paid back duly,furniture/equipment,1650.6699,<100 DM,<1 years,1.0,none,3.0,car or other,25<=x<=65,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,6.7552953,critical account,car (new),1344.106,no savings account,<1 years,1.0,none,2.0,savings agreement/life insurance,x<25 or x>65,bank,rent,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,4.0,delay in paying off,car (new),1421.5073,no savings account,1<= < 4 years,4.0,none,1.0,car or other,x<25 or x>65,none,rent,1.0,management/ highly qualified employee,1.0,yes,yes,male,married/widowed,0
no account,18.0,critical account,car (new),250.0,<100 DM,1<= < 4 years,4.0,none,4.0,real estate,x<25 or x>65,none,own,1.0,unemployed/ unskilled  - non-resident,1.0,none,yes,male,married/widowed,1
<0 DM,12.0,existing credits paid back duly till now,radio/television,9537.555,<100 DM,4<= <7 years,4.0,none,2.0,car or other,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,18.0,delay in paying off,car (new),3688.9336,<100 DM,1<= < 4 years,2.0,guarantor,1.0,savings agreement/life insurance,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,18.0,no credits taken,others,2258.5999,<100 DM,<1 years,4.0,none,2.0,real estate,25<=x<=65,none,rent,1.0,skilled employee / official,1.0,none,no,female,divorced/separated,0
0 <= <200 DM,36.0,existing credits paid back duly till now,radio/television,3484.9595,no savings account,1<= < 4 years,1.0,none,2.0,car or other,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
>= 200 DM ,24.0,existing credits paid back duly till now,retraining,10528.924,<100 DM,unemployed,2.0,none,1.0,savings agreement/life insurance,25<=x<=65,bank,own,1.0,unskilled - resident,1.0,yes,yes,male,married/widowed,1
0 <= <200 DM,18.0,existing credits paid back duly till now,car (used),1878.6487,no savings account,>=7 years,2.648237,none,2.0,car or other,x<25 or x>65,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,male,married/widowed,0
0 <= <200 DM,15.0,existing credits paid back duly till now,business,18424.0,no savings account,4<= <7 years,4.0,co-applicant,3.0,car or other,x<25 or x>65,bank,own,2.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
