age,workclass,education,edu-num,marital-status,occupation,relationship,race,sex,income
59, Self-emp-inc, Prof-school,13, Married-AF-spouse, Protective-serv, Husband, White, Male, <=50K
31, ?, Assoc-voc,11, Never-married, ?, Not-in-family, White, Female, <=50K
47, Federal-gov, Assoc-voc,14, Widowed, Tech-support, Husband, Asian-Pac-Islander, Male, <=50K
37, State-gov, 12th,11, Never-married, Prof-specialty, Not-in-family, White, Male, <=50K
20, Without-pay, Prof-school,11, Never-married, Other-service, Not-in-family, White, Female, <=50K
22, Private, Some-college,9, Separated, Craft-repair, Unmarried, White, Male, <=50K
26, Local-gov, Masters,10, Divorced, Craft-repair, Unmarried, White, Male, <=50K
38, Private, Some-college,10, Divorced, Adm-clerical, Husband, Black, Male, <=50K
32, Self-emp-inc, HS-grad,12, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Female, <=50K
51, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, <=50K
39, Local-gov, Assoc-acdm,9, Married-civ-spouse, Other-service, Other-relative, White, Male, <=50K
29, Private, Bachelors,11, Never-married, Exec-managerial, Not-in-family, Black, Female, <=50K
27, Private, HS-grad,8, Never-married, Sales, Not-in-family, White, Female, <=50K
25, Private, Some-college,12, Never-married, Sales, Own-child, Black, Male, <=50K
35, Private, Bachelors,10, Divorced, Machine-op-inspct, Not-in-family, Other, Female, <=50K
26, Private, Some-college,8, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female, <=50K
46, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male, <=50K
62, Private, Doctorate,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, >50K
51, Private, HS-grad,11, Never-married, Prof-specialty, Not-in-family, White, Male, <=50K
38, Private, HS-grad,6, Never-married, Handlers-cleaners, Own-child, White, Female, <=50K
40, Private, HS-grad,12, Separated, Craft-repair, Not-in-family, White, Female, <=50K
29, Private, Prof-school,11, Separated, Prof-specialty, Other-relative, White, Female, <=50K
37, Local-gov, HS-grad,6, Never-married, Handlers-cleaners, Unmarried, White, Female, >50K
44, ?, HS-grad,7, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male, >50K
26, Self-emp-not-inc, Assoc-voc,13, Never-married, Sales, Other-relative, White, Female, <=50K
24, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female, <=50K
60, Private, 7th-8th,9, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
65, Private, Some-college,11, Married-civ-spouse, Transport-moving, Husband, White, Male, >50K
65, Private, Some-college,14, Married-civ-spouse, Craft-repair, Husband, White, Male, >50K
32, Private, Bachelors,14, Never-married, Craft-repair, Other-relative, White, Male, <=50K
21, Private, HS-grad,11, Never-married, Exec-managerial, Own-child, White, Female, <=50K
35, Local-gov, Some-college,11, Married-civ-spouse, Sales, Husband, White, Male, >50K
43, Private, Some-college,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, <=50K
44, Private, HS-grad,11, Married-civ-spouse, Other-service, Not-in-family, White, Male, <=50K
64, Without-pay, Some-college,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
34, Without-pay, Some-college,14, Married-civ-spouse, Sales, Husband, White, Male, >50K
42, Private, Preschool,10, Divorced, Tech-support, Unmarried, White, Female, <=50K
39, Private, 7th-8th,12, Married-civ-spouse, Prof-specialty, Husband, White, Male, <=50K
57, Private, Bachelors,12, Married-civ-spouse, Other-service, Not-in-family, White, Female, <=50K
30, Private, Some-college,6, Separated, Sales, Own-child, White, Female, <=50K
40, Self-emp-not-inc, Bachelors,10, Married-spouse-absent, ?, Husband, White, Female, <=50K
24, State-gov, 7th-8th,9, Never-married, Tech-support, Own-child, White, Female, <=50K
44, Private, 11th,14, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male, <=50K
40, Private, Some-college,14, Never-married, Tech-support, Own-child, White, Male, <=50K
42, Private, Some-college,9, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male, <=50K
43, Private, Some-college,8, Married-spouse-absent, Sales, Unmarried, White, Female, <=50K
30, Private, Some-college,11, Never-married, Sales, Wife, White, Male, <=50K
37, Private, Assoc-voc,9, Never-married, Prof-specialty, Husband, Black, Female, <=50K
48, Private, HS-grad,8, Separated, Craft-repair, Husband, White, Male, <=50K
44, Private, 12th,6, Divorced, Transport-moving, Husband, White, Male, <=50K
35, Self-emp-inc, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
30, Private, Some-college,8, Never-married, Farming-fishing, Other-relative, White, Male, <=50K
22, Federal-gov, Masters,13, Never-married, Prof-specialty, Unmarried, Black, Female, <=50K
28, Private, Assoc-voc,11, Never-married, Prof-specialty, Husband, White, Male, <=50K
33, Private, Assoc-voc,13, Never-married, Exec-managerial, Husband, White, Male, <=50K
57, Private, HS-grad,8, Married-civ-spouse, Adm-clerical, Husband, White, Male, <=50K
36, Local-gov, HS-grad,12, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
35, Private, 12th,9, Married-civ-spouse, Exec-managerial, Husband, White, Male, <=50K
22, Private, HS-grad,9, Separated, Craft-repair, Husband, White, Male, <=50K
43, Private, HS-grad,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, <=50K
22, Private, HS-grad,8, Never-married, Adm-clerical, Not-in-family, White, Female, <=50K
28, Federal-gov, Bachelors,11, Married-civ-spouse, Transport-moving, Not-in-family, White, Male, <=50K
42, Private, Assoc-voc,12, Never-married, Craft-repair, Not-in-family, White, Female, <=50K
60, Private, HS-grad,13, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female, >50K
33, Private, Prof-school,6, Divorced, Handlers-cleaners, Not-in-family, White, Female, <=50K
32, Private, HS-grad,8, Married-civ-spouse, Sales, Husband, White, Male, <=50K
51, Private, HS-grad,9, Married-civ-spouse, Sales, Not-in-family, White, Female, <=50K
17, Private, HS-grad,12, Divorced, Craft-repair, Not-in-family, White, Male, <=50K
49, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female, <=50K
55, Private, HS-grad,11, Never-married, Other-service, Not-in-family, White, Female, <=50K
31, Local-gov, HS-grad,8, Divorced, Farming-fishing, Not-in-family, White, Male, <=50K
34, Local-gov, HS-grad,13, Never-married, Prof-specialty, Not-in-family, White, Female, <=50K
40, Local-gov, HS-grad,10, Divorced, Sales, Unmarried, White, Male, <=50K
43, Private, Some-college,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
40, Local-gov, Assoc-acdm,11, Married-civ-spouse, Sales, Husband, White, Male, <=50K
39, Private, Some-college,7, Never-married, Sales, Own-child, White, Male, <=50K
31, Private, Some-college,12, Never-married, Prof-specialty, Own-child, White, Female, >50K
44, Private, Bachelors,13, Never-married, Farming-fishing, Unmarried, White, Female, <=50K
33, Private, Assoc-voc,10, Divorced, Craft-repair, Own-child, White, Male, <=50K
40, Private, HS-grad,7, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
32, Private, Bachelors,14, Divorced, Prof-specialty, Unmarried, White, Female, >50K
70, Private, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
21, Private, Bachelors,12, Never-married, Prof-specialty, Unmarried, Black, Male, <=50K
72, Local-gov, HS-grad,10, Married-civ-spouse, Tech-support, Husband, White, Male, <=50K
46, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, >50K
49, Self-emp-not-inc, 12th,12, Separated, ?, Unmarried, White, Female, <=50K
45, Private, Doctorate,12, Married-civ-spouse, Exec-managerial, Husband, White, Male, <=50K
44, Private, Masters,8, Divorced, Other-service, Not-in-family, Black, Male, <=50K
41, Private, HS-grad,8, Never-married, Farming-fishing, Husband, White, Male, <=50K
34, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, >50K
41, Private, HS-grad,6, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
39, Private, HS-grad,8, Never-married, Adm-clerical, Own-child, White, Female, <=50K
40, Private, 10th,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, <=50K
26, Private, Some-college,10, Never-married, Craft-repair, Own-child, White, Male, <=50K
44, Private, HS-grad,12, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male, <=50K
34, Private, Some-college,8, Married-civ-spouse, Priv-house-serv, Own-child, White, Male, <=50K
28, Private, Some-college,13, Never-married, Other-service, Not-in-family, White, Female, <=50K
35, Private, HS-grad,12, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female, <=50K
42, Private, Bachelors,15, Married-civ-spouse, Adm-clerical, Husband, White, Female, >50K
39, Private, Assoc-acdm,14, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
54, Private, HS-grad,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Male, <=50K
46, Private, HS-grad,6, Married-civ-spouse, Transport-moving, Husband, White, Female, <=50K
72, Local-gov, Some-college,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
64, Private, Bachelors,16, Married-civ-spouse, Prof-specialty, Wife, White, Female, >50K
29, Private, Bachelors,8, Never-married, Transport-moving, Unmarried, White, Male, <=50K
66, State-gov, HS-grad,10, Married-civ-spouse, Transport-moving, Husband, White, Male, >50K
35, Local-gov, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male, <=50K
50, Private, HS-grad,8, Married-civ-spouse, Transport-moving, Wife, White, Male, <=50K
31, Local-gov, 11th,10, Married-civ-spouse, Adm-clerical, Wife, White, Male, <=50K
59, ?, Bachelors,14, Married-civ-spouse, ?, Husband, White, Male, >50K
45, Local-gov, 9th,7, Never-married, Craft-repair, Own-child, Black, Male, <=50K
34, Private, Some-college,10, Never-married, ?, Own-child, White, Female, <=50K
49, Federal-gov, Some-college,10, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, >50K
33, Private, Some-college,12, Never-married, ?, Own-child, White, Male, >50K
43, Private, HS-grad,10, Married-civ-spouse, ?, Unmarried, White, Male, >50K
44, Private, Some-college,10, Married-civ-spouse, ?, Own-child, White, Male, <=50K
34, Private, Bachelors,12, Never-married, Sales, Own-child, White, Male, <=50K
33, Self-emp-not-inc, 12th,10, Never-married, ?, Not-in-family, White, Male, <=50K
24, Local-gov, HS-grad,5, Divorced, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female, <=50K
59, Private, Some-college,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, >50K
61, Self-emp-not-inc, HS-grad,7, Never-married, Adm-clerical, Unmarried, White, Female, <=50K
37, Private, HS-grad,5, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female, <=50K
39, Private, Some-college,10, Never-married, Sales, Own-child, White, Female, <=50K
27, Private, HS-grad,11, Never-married, Farming-fishing, Not-in-family, White, Male, <=50K
43, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, <=50K
24, Private, HS-grad,10, Divorced, Craft-repair, Not-in-family, White, Male, <=50K
30, Private, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Male, <=50K
59, Private, HS-grad,10, Married-civ-spouse, Other-service, Husband, White, Male, <=50K
38, Private, Assoc-acdm,11, Divorced, Adm-clerical, Husband, White, Male, >50K
64, Private, Some-college,15, Married-civ-spouse, Sales, Husband, White, Male, >50K
36, Private, Bachelors,10, Divorced, Craft-repair, Not-in-family, White, Female, <=50K
49, Private, HS-grad,6, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
43, Private, Some-college,12, Married-civ-spouse, Craft-repair, Husband, White, Male, >50K
20, Private, Some-college,11, Never-married, ?, Not-in-family, White, Male, <=50K
38, Private, HS-grad,13, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
36, Private, Some-college,13, Married-civ-spouse, Adm-clerical, Husband, White, Male, >50K
37, Private, HS-grad,10, Divorced, Craft-repair, Husband, White, Male, <=50K
46, Federal-gov, Bachelors,10, Never-married, Sales, Husband, Black, Male, >50K
31, Private, Bachelors,13, Never-married, Exec-managerial, Husband, White, Male, <=50K
45, Self-emp-not-inc, Bachelors,12, Married-civ-spouse, Sales, Husband, White, Male, <=50K
63, Private, Some-college,11, Married-civ-spouse, Exec-managerial, Husband, White, Female, <=50K
42, Private, Bachelors,11, Never-married, Exec-managerial, Husband, White, Male, <=50K
55, State-gov, Bachelors,9, Married-civ-spouse, Exec-managerial, Husband, White, Male, <=50K
22, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male, <=50K
50, Private, HS-grad,7, Married-civ-spouse, Adm-clerical, Unmarried, White, Female, <=50K
35, Local-gov, HS-grad,9, Widowed, ?, Not-in-family, White, Male, <=50K
42, Self-emp-not-inc, Bachelors,13, Married-spouse-absent, Prof-specialty, Husband, White, Male, <=50K
61, Private, HS-grad,11, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
27, Private, Bachelors,8, Never-married, Other-service, Not-in-family, White, Female, <=50K
36, Private, HS-grad,13, Married-civ-spouse, Exec-managerial, Husband, White, Male, <=50K
41, Local-gov, Bachelors,15, Never-married, Prof-specialty, Husband, Black, Male, <=50K
29, Private, HS-grad,12, Married-civ-spouse, Tech-support, Unmarried, White, Female, <=50K
17, Private, HS-grad,9, Never-married, Exec-managerial, Husband, White, Male, <=50K
45, Self-emp-not-inc, 11th,13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male, <=50K
37, Self-emp-not-inc, Masters,15, Never-married, Prof-specialty, Husband, White, Male, <=50K
23, Self-emp-not-inc, Bachelors,15, Never-married, Prof-specialty, Husband, White, Male, <=50K
42, Private, HS-grad,4, Married-civ-spouse, Tech-support, Husband, White, Male, <=50K
40, Self-emp-not-inc, Masters,13, Never-married, Prof-specialty, Own-child, White, Male, <=50K
58, Private, HS-grad,10, Married-civ-spouse, Sales, Husband, White, Male, >50K
35, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Female, <=50K
59, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Female, >50K
32, Private, HS-grad,7, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
19, Private, 11th,6, Married-civ-spouse, Tech-support, Husband, White, Male, <=50K
59, Federal-gov, Bachelors,16, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Female, <=50K
37, Private, Assoc-voc,14, Married-civ-spouse, Farming-fishing, Unmarried, White, Male, <=50K
54, Private, Some-college,12, Married-civ-spouse, Prof-specialty, Husband, White, Male, <=50K
41, Local-gov, HS-grad,13, Divorced, Adm-clerical, Unmarried, White, Female, <=50K
27, State-gov, Bachelors,14, Married-civ-spouse, Prof-specialty, Own-child, White, Male, <=50K
29, Private, HS-grad,13, Never-married, Adm-clerical, Unmarried, Black, Female, <=50K
41, Private, Bachelors,11, Married-civ-spouse, Craft-repair, Unmarried, Black, Female, <=50K
41, Private, Some-college,12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, >50K
29, Private, HS-grad,10, Never-married, Machine-op-inspct, Not-in-family, Black, Female, <=50K
53, Self-emp-inc, Bachelors,15, Never-married, Craft-repair, Own-child, White, Male, <=50K
43, Private, HS-grad,13, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Female, <=50K
53, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male, <=50K
48, Private, Some-college,8, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
32, Private, Some-college,12, Never-married, Craft-repair, Not-in-family, White, Female, <=50K
48, Private, Assoc-acdm,10, Divorced, Craft-repair, Not-in-family, White, Male, <=50K
45, Local-gov, Bachelors,14, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
59, Local-gov, Assoc-acdm,12, Divorced, Adm-clerical, Not-in-family, White, Female, <=50K
33, Private, Some-college,6, Married-civ-spouse, Craft-repair, Husband, White, Male, >50K
32, Private, HS-grad,8, Married-civ-spouse, Transport-moving, Husband, White, Male, >50K
31, Private, Some-college,11, Divorced, Craft-repair, Not-in-family, White, Female, <=50K
41, ?, Some-college,6, Never-married, ?, Not-in-family, White, Male, <=50K
69, Local-gov, Bachelors,9, Never-married, Prof-specialty, Not-in-family, Black, Female, <=50K
43, Self-emp-not-inc, Some-college,10, Never-married, Adm-clerical, Husband, White, Male, <=50K
32, Private, HS-grad,12, Divorced, Sales, Not-in-family, White, Male, >50K
31, Private, Some-college,9, Never-married, Sales, Not-in-family, White, Male, <=50K
28, Private, Some-college,9, Never-married, Sales, Not-in-family, White, Male, >50K
60, Private, Some-college,8, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
33, Self-emp-not-inc, Some-college,7, Never-married, Tech-support, Not-in-family, White, Male, <=50K
66, Private, Doctorate,11, Never-married, Exec-managerial, Unmarried, Black, Female, <=50K
48, Private, Some-college,6, Married-civ-spouse, ?, Husband, Black, Male, >50K
30, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male, <=50K
43, Private, HS-grad,8, Never-married, Other-service, Not-in-family, White, Male, >50K
23, Private, Bachelors,13, Never-married, Prof-specialty, Husband, White, Male, <=50K
45, Private, Some-college,6, Never-married, Sales, Not-in-family, Black, Male, <=50K
33, Private, Some-college,8, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
21, Private, Some-college,13, Married-civ-spouse, Adm-clerical, Husband, White, Male, <=50K
59, Private, Bachelors,14, Married-civ-spouse, Prof-specialty, Husband, White, Female, >50K
19, Private, HS-grad,13, Never-married, Craft-repair, Own-child, White, Male, <=50K
26, Private, HS-grad,11, Never-married, Prof-specialty, Husband, White, Male, <=50K
45, Private, Bachelors,12, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, >50K
41, Self-emp-not-inc, HS-grad,10, Never-married, Adm-clerical, Own-child, White, Male, <=50K
36, Self-emp-not-inc, HS-grad,13, Never-married, ?, Unmarried, White, Female, <=50K
34, Local-gov, Bachelors,16, Never-married, Prof-specialty, Not-in-family, Black, Female, <=50K
46, Private, Masters,11, Divorced, Exec-managerial, Unmarried, White, Female, >50K
41, State-gov, Some-college,11, Married-civ-spouse, Adm-clerical, Husband, White, Male, >50K
31, Private, HS-grad,10, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male, <=50K
38, Private, Bachelors,14, Married-civ-spouse, Prof-specialty, Husband, White, Male, <=50K
35, Private, HS-grad,6, Never-married, Farming-fishing, Not-in-family, White, Female, <=50K
29, ?, Bachelors,13, Never-married, Prof-specialty, Husband, Black, Female, <=50K
29, Private, 11th,12, Married-civ-spouse, Craft-repair, Husband, White, Male, >50K
41, Private, HS-grad,10, Never-married, Farming-fishing, Unmarried, Black, Female, <=50K
38, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male, <=50K
32, Private, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female, <=50K
62, Self-emp-not-inc, Some-college,11, Divorced, Adm-clerical, Not-in-family, White, Male, <=50K
25, Private, Some-college,15, Married-civ-spouse, Prof-specialty, Husband, White, Female, >50K
43, Private, 1st-4th,11, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male, <=50K
30, Private, HS-grad,11, Married-civ-spouse, Exec-managerial, Husband, White, Male, <=50K
27, Private, HS-grad,7, Never-married, Sales, Own-child, White, Male, <=50K
43, Private, HS-grad,6, Divorced, Exec-managerial, Own-child, White, Male, <=50K
41, State-gov, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
42, Private, HS-grad,11, Married-civ-spouse, Adm-clerical, Unmarried, White, Female, <=50K
51, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female, <=50K
33, ?, Some-college,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, <=50K
44, Private, Bachelors,12, Never-married, Prof-specialty, Unmarried, Black, Female, <=50K
33, Private, HS-grad,10, Divorced, Exec-managerial, Not-in-family, White, Female, <=50K
28, Private, Some-college,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, <=50K
32, Local-gov, Bachelors,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Female, <=50K
58, Private, HS-grad,8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, <=50K
31, Private, HS-grad,11, Married-civ-spouse, Craft-repair, Husband, White, Female, <=50K
35, ?, Bachelors,11, Never-married, Prof-specialty, Not-in-family, White, Male, >50K
28, Private, Some-college,12, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
28, ?, Some-college,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, <=50K
34, Private, Bachelors,12, Never-married, Adm-clerical, Not-in-family, Black, Female, <=50K
44, ?, Some-college,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, >50K
26, Local-gov, HS-grad,11, Married-civ-spouse, Other-service, Own-child, White, Male, <=50K
37, Local-gov, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, <=50K
57, Private, HS-grad,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, >50K
28, Private, HS-grad,12, Married-civ-spouse, Craft-repair, Husband, White, Male, >50K
45, Private, Doctorate,12, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female, >50K
28, Private, Some-college,11, Married-civ-spouse, Craft-repair, Husband, White, Female, <=50K
35, Private, Bachelors,10, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male, <=50K
44, Private, Doctorate,10, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female, <=50K
52, Local-gov, HS-grad,8, Divorced, Other-service, Not-in-family, Black, Female, <=50K
54, Private, HS-grad,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, >50K
47, Private, Some-college,7, Married-civ-spouse, Adm-clerical, Husband, White, Female, <=50K
49, Private, HS-grad,11, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
44, Local-gov, Some-college,5, Married-civ-spouse, Other-service, Husband, White, Male, <=50K
50, Private, HS-grad,10, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male, <=50K
67, ?, Doctorate,15, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo, Female, >50K
52, Private, HS-grad,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, >50K
40, Private, 11th,9, Divorced, Craft-repair, Not-in-family, White, Male, <=50K
74, Private, HS-grad,12, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
39, Private, Bachelors,12, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
53, Local-gov, HS-grad,6, Never-married, Craft-repair, Unmarried, White, Female, <=50K
53, Local-gov, HS-grad,4, Married-civ-spouse, Craft-repair, Wife, White, Female, <=50K
50, Private, Some-college,8, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
59, Self-emp-not-inc, Some-college,11, Divorced, Prof-specialty, Not-in-family, White, Male, >50K
47, Local-gov, HS-grad,8, Married-civ-spouse, Craft-repair, Unmarried, White, Male, <=50K
75, Private, Masters,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, >50K
62, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Not-in-family, White, Male, <=50K
34, Self-emp-not-inc, Some-college,7, Never-married, Craft-repair, Own-child, White, Male, <=50K
39, ?, Bachelors,14, Divorced, ?, Not-in-family, White, Female, >50K
61, Local-gov, HS-grad,11, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female, >50K
26, Private, Bachelors,14, Never-married, Adm-clerical, Not-in-family, White, Female, <=50K
42, Private, HS-grad,7, Married-civ-spouse, Craft-repair, Not-in-family, White, Male, <=50K
55, Private, HS-grad,11, Married-civ-spouse, Craft-repair, Husband, White, Male, >50K
64, Private, Some-college,12, Divorced, Craft-repair, Not-in-family, White, Male, <=50K
