One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Eleven,Twelve,Thirteen,FOurteen,Fifteen
1,28,5,2,2,4,3,0,1,3,1,3,83,1195,0
0,27,5,2,9,1,2,1,0,4,1,1,180,495,0
0,30,4,1,3,4,3,0,0,5,1,2,202,3971,0
0,33,0,2,9,4,3,0,1,7,0,1,214,2669,0
0,21,3,1,5,3,4,0,1,4,1,2,219,1862,0
0,29,1,2,7,1,3,1,0,4,1,1,330,2434,1
1,31,2,3,2,4,4,1,1,5,1,1,100,522,1
1,25,4,1,3,8,3,0,1,3,1,2,61,245,0
1,28,7,2,2,8,1,1,1,3,1,3,200,798,1
1,26,4,3,7,3,2,1,0,1,1,3,109,804,1
1,25,6,2,5,4,1,1,1,2,1,3,75,513,1
0,24,4,3,3,4,2,1,1,5,1,1,160,2002,0
1,35,4,2,3,8,3,1,1,3,0,2,201,795,1
1,29,3,1,14,3,4,0,0,3,0,3,207,334,0
0,27,3,1,12,3,4,0,1,2,0,3,143,113,1
1,32,6,1,3,8,3,0,1,3,1,2,127,410,0
0,31,0,1,7,8,5,0,0,7,1,1,257,3802,0
1,20,11,3,2,9,1,1,1,2,1,2,2,1214,1
1,30,6,2,7,8,1,1,0,4,1,1,171,2283,1
1,28,6,2,11,7,1,1,0,2,1,2,155,1454,1
1,29,7,2,13,4,3,1,1,3,1,2,98,537,1
1,22,4,1,7,8,1,1,0,4,1,1,162,4749,0
0,26,3,2,6,4,3,0,0,6,1,1,228,2713,1
0,32,4,2,4,8,2,1,1,2,0,2,115,1713,1
0,34,0,3,3,7,5,0,0,6,0,2,239,3337,1
1,23,5,2,2,1,2,0,1,3,1,3,191,1541,1
0,31,3,1,3,3,4,0,1,4,1,3,246,1681,1
1,24,2,2,11,3,4,0,0,3,0,3,204,2663,1
0,28,2,1,5,2,3,0,0,3,1,1,219,967,0
0,33,3,2,2,4,3,0,1,2,1,3,167,1037,1
1,29,4,1,11,4,2,1,1,5,1,2,169,1095,0
0,36,1,2,3,3,4,0,1,4,0,1,335,950,1
1,32,4,2,3,3,4,1,1,4,0,2,128,1250,0
1,29,7,2,2,4,2,1,1,4,0,2,44,110,1
1,29,4,2,7,1,2,1,0,2,0,2,280,2084,1
1,34,7,2,2,7,3,1,0,4,1,2,302,2780,1
1,26,3,2,1,3,4,1,0,3,0,3,184,2535,0
0,31,5,3,3,4,4,0,1,4,0,2,63,969,1
1,24,2,3,8,3,4,0,1,4,0,2,100,2883,1
0,30,2,1,12,3,4,0,1,4,1,3,230,978,1
0,30,4,2,9,8,2,1,1,4,1,2,196,222,1
1,24,5,1,7,5,3,1,1,3,1,2,191,1748,1
0,26,4,1,5,8,4,0,1,3,1,2,112,1548,0
1,34,5,1,4,8,4,0,1,4,0,2,146,773,0
1,32,5,1,3,9,0,0,1,4,1,2,206,2627,0
0,22,4,3,2,4,4,0,1,4,1,1,195,1096,1
0,34,3,1,3,4,2,0,1,2,1,3,152,465,0
0,21,4,2,7,1,2,0,0,2,1,1,265,573,1
0,24,4,3,1,4,2,1,1,0,1,3,34,277,0
1,33,4,2,8,7,1,0,0,4,1,2,186,895,1
1,27,5,3,13,8,5,1,1,2,0,3,181,2425,0
0,36,8,1,13,9,2,0,1,1,1,2,111,1329,0
0,28,2,1,6,3,3,0,1,4,0,1,154,1715,0
1,33,5,2,8,8,2,1,1,7,0,2,28,675,1
0,30,5,1,11,8,1,1,1,5,1,2,149,1164,1
1,31,2,1,6,4,3,0,1,7,0,2,173,2811,0
1,27,5,1,11,4,1,0,0,5,1,1,148,4381,0
1,25,3,1,6,8,3,1,1,2,1,2,172,556,0
0,32,7,2,9,4,2,1,1,4,1,2,113,3180,0
0,24,3,1,7,8,2,1,0,3,1,1,216,935,1
0,29,5,1,11,4,0,0,1,4,1,2,68,3381,0
1,28,7,1,2,8,3,0,1,0,0,3,45,2293,1
1,25,6,2,9,7,1,1,0,5,1,2,109,2351,0
1,37,7,2,11,3,3,1,1,2,1,2,110,1164,1
1,32,4,1,9,8,2,0,1,3,0,3,217,1055,1
1,30,3,1,6,4,5,0,1,5,0,1,164,990,1
0,29,2,2,5,1,4,0,1,2,1,3,319,1263,1
0,29,5,1,8,8,3,0,1,1,1,3,201,2162,0
0,27,7,2,13,3,3,0,1,1,0,3,135,2224,0
1,33,5,2,13,4,2,1,1,3,1,2,141,195,1
0,30,2,3,3,4,4,0,1,4,0,2,92,1868,0
1,31,6,1,14,8,2,0,1,4,1,2,222,988,0
0,29,6,1,13,8,3,0,1,3,0,2,64,2931,0
1,34,1,2,1,3,3,1,1,3,1,2,373,228,0
1,26,3,2,3,8,3,0,0,4,0,2,257,2381,1
1,24,6,2,8,7,4,0,1,0,0,3,199,1783,1
1,17,8,1,2,8,2,1,1,2,1,2,114,2456,0
1,22,5,1,3,4,3,0,1,1,0,3,66,227,0
1,23,6,1,3,3,4,0,1,2,0,2,62,960,0
1,29,5,1,13,4,2,1,1,4,1,2,160,1718,0
0,30,2,1,6,4,3,0,1,6,0,2,253,4339,0
0,35,5,1,2,8,5,0,1,0,1,3,83,1827,1
1,28,2,2,6,4,2,0,1,5,0,1,135,517,1
1,32,6,3,2,4,4,1,0,5,1,2,132,3030,1
1,32,0,3,6,4,3,0,0,9,1,1,268,4499,1
1,30,4,2,7,3,3,0,1,6,0,2,236,2546,1
1,26,6,2,8,5,2,1,0,1,0,2,152,2926,1
0,40,3,1,11,8,3,0,1,2,0,2,204,3420,0
0,29,6,1,8,4,1,1,1,4,1,2,127,2636,0
1,31,4,2,8,5,4,0,1,3,0,2,288,1462,0
1,27,7,2,8,4,1,1,1,1,1,2,103,2531,1
0,32,1,2,9,4,2,1,0,3,1,1,380,3762,0
1,30,6,1,6,3,5,0,1,5,0,2,59,6711,1
1,25,6,1,11,2,0,0,0,2,1,2,212,3589,1
1,23,5,1,13,4,3,0,0,2,0,1,166,4366,0
1,41,12,2,1,8,4,1,1,3,1,2,34,1737,1
0,37,7,2,13,4,3,0,1,1,0,3,105,2088,1
0,35,4,1,3,4,4,0,1,1,1,2,206,3510,0
1,26,6,2,3,4,2,1,1,4,1,2,123,3964,0
0,26,3,3,9,1,2,1,0,5,1,1,285,3281,0
0,28,2,1,8,4,0,0,0,5,0,1,169,4864,1
1,28,5,2,14,4,1,1,0,5,1,2,289,3559,1
0,23,1,2,10,1,2,0,0,4,0,2,173,4931,1
1,34,10,2,2,8,2,1,1,1,1,2,93,1331,0
1,37,3,2,9,4,4,1,0,6,0,1,276,3444,1
0,32,4,3,8,9,3,0,1,5,0,2,127,1552,1
0,41,6,2,3,4,2,0,1,3,0,2,122,2912,0
1,31,5,1,8,8,4,0,1,3,0,2,205,2419,1
0,22,2,2,7,1,2,1,0,0,1,2,477,410,1
0,36,1,2,7,2,2,1,1,3,1,2,397,1729,1
0,35,4,2,1,1,2,0,1,1,1,2,232,838,1
1,32,2,2,8,8,4,0,1,4,1,2,181,1927,1
0,24,7,2,9,1,3,1,1,2,0,2,190,1509,1
1,26,0,2,5,1,2,0,0,4,1,1,423,2208,0
1,35,7,1,6,8,2,0,1,3,1,2,208,4006,0
1,41,2,2,12,4,2,0,1,3,1,2,339,2581,1
0,33,2,1,4,4,1,0,0,2,1,2,185,2445,1
0,27,6,3,6,4,3,0,0,2,1,2,100,5607,0
1,30,2,1,14,4,3,0,1,0,1,3,201,1082,0
0,34,2,1,3,4,3,0,0,3,0,1,284,3690,0
0,41,8,2,3,8,2,1,1,2,0,2,59,1407,1
1,31,7,2,8,4,0,1,0,1,1,2,270,2330,0
1,35,5,1,6,4,2,0,1,5,0,2,176,5977,0
0,29,2,2,8,4,4,0,1,5,1,1,148,1178,0
0,35,7,2,3,4,1,1,1,4,0,2,92,3231,1
0,38,4,1,3,4,3,1,1,2,0,2,188,1522,0
1,30,6,2,8,8,2,0,1,2,1,2,301,1781,1
0,30,4,2,8,4,5,0,1,3,0,2,232,2105,1
1,29,6,2,6,2,2,1,1,2,0,2,280,1314,1
0,28,11,1,8,4,4,0,1,3,0,2,52,2852,0
0,25,4,1,4,4,0,0,0,3,1,2,206,4809,0
1,25,1,3,12,4,4,0,0,4,1,1,401,3426,1
1,40,4,2,3,4,2,1,0,4,0,2,279,3218,0
0,26,5,2,8,1,2,1,0,5,1,2,287,3933,1
0,35,7,1,8,4,0,0,1,0,0,2,26,2756,0
1,33,8,2,1,7,0,1,1,0,1,2,250,1884,1
1,30,6,1,6,2,5,0,1,2,0,2,37,2944,1
0,42,4,2,9,4,3,0,1,3,0,2,207,1076,0
1,35,8,2,13,8,3,1,1,1,1,2,182,472,1
1,27,4,2,8,4,2,0,0,0,0,2,129,1525,1
0,25,4,2,5,4,2,0,0,1,1,2,240,3326,0
1,29,4,2,12,4,2,0,0,3,0,2,254,964,1
1,35,2,2,12,4,3,0,0,3,0,2,325,69,1
1,36,6,1,8,4,0,0,1,2,0,2,83,4767,0
1,37,12,2,8,4,1,0,1,3,1,2,60,5269,0
0,31,9,2,13,4,3,0,1,1,1,2,137,1388,1
1,37,10,2,1,9,0,1,1,4,1,2,157,5663,0
1,31,8,1,4,4,1,0,0,3,1,2,154,4964,0
1,31,4,1,4,4,0,0,0,3,1,2,330,2645,0
0,37,6,1,8,4,0,0,0,1,1,2,100,5021,0
0,38,1,2,12,4,1,0,0,2,1,2,251,1650,1
1,30,5,2,4,4,1,1,0,3,1,2,212,1257,0
1,35,8,2,8,4,6,1,1,6,0,2,100,2117,0
0,31,7,2,4,4,0,1,0,3,1,2,150,3112,0
1,36,2,2,12,4,1,0,0,6,0,1,313,124,1
1,32,4,1,4,4,0,0,0,1,1,2,157,1294,0
0,41,3,2,4,4,2,0,1,1,0,2,164,422,0
0,36,6,2,4,4,2,0,0,4,1,2,162,3286,1
1,23,3,2,7,2,1,1,0,0,0,1,253,847,1
0,37,4,2,8,4,3,0,1,3,0,2,216,3390,0
1,31,8,1,7,4,0,1,0,2,0,2,176,3868,1
1,26,8,1,4,5,1,0,0,1,1,2,77,564,0
1,36,4,2,2,4,2,0,0,1,1,2,322,1730,0
1,32,8,2,13,4,0,0,1,0,1,2,328,2313,0
1,27,4,2,5,5,3,0,0,1,1,2,319,2880,0
1,33,4,2,7,4,3,0,1,2,0,1,194,4086,1
1,26,4,2,7,1,1,1,0,2,0,2,337,37,0
0,33,5,2,10,4,3,0,0,5,0,2,101,4185,0
1,41,8,2,13,9,2,1,1,6,0,2,196,4660,0
1,36,5,2,13,9,1,0,1,2,0,2,121,1200,1
1,29,8,2,4,4,1,0,0,1,1,2,188,3007,0
1,31,8,2,4,4,3,0,0,2,0,2,116,3129,1
1,25,4,2,6,2,3,1,0,4,1,2,374,2269,0
1,36,5,2,1,4,1,1,0,3,1,2,294,2049,1
1,34,8,1,11,9,0,1,1,1,1,2,144,2717,0
1,34,6,2,7,4,0,1,0,0,0,2,203,3680,0
0,34,9,2,13,9,0,0,0,3,1,2,73,3556,0
1,39,6,2,8,8,0,1,1,2,1,2,235,2415,0
1,28,4,2,10,4,0,0,0,7,0,2,270,889,0
1,32,5,2,10,4,2,0,0,5,0,2,123,1859,0
1,26,3,2,6,2,2,0,0,2,0,2,204,1479,0
1,36,8,2,1,8,3,1,1,0,1,2,115,2007,1
0,30,2,2,10,4,0,0,0,3,0,2,263,2473,1
1,36,4,2,11,4,0,0,0,1,1,2,346,1475,0
1,33,6,2,6,4,2,1,0,0,0,2,143,2858,1
1,37,7,2,1,4,1,1,0,2,1,2,242,999,0
1,28,7,2,11,4,1,0,0,3,1,2,124,4464,0
1,38,9,2,1,4,1,1,1,3,0,2,70,1305,0
1,29,7,2,1,5,1,1,0,0,1,2,206,2326,0
1,25,7,2,2,4,0,1,0,4,0,2,62,2101,0
1,37,7,2,11,4,1,0,0,1,0,2,178,3206,0
1,30,8,2,1,5,3,1,0,1,1,2,213,3306,0
1,28,5,2,7,4,1,1,0,4,1,2,283,1238,0
0,43,6,2,1,7,5,1,1,7,0,2,254,691,0
1,30,3,2,10,4,0,0,0,0,0,2,240,1323,0
1,38,9,2,3,4,3,1,0,6,0,2,277,5508,0
1,35,8,2,11,4,3,0,1,3,0,2,38,855,0
1,42,9,2,9,9,1,1,0,6,0,2,153,1415,0
1,37,7,2,10,4,0,0,0,5,1,2,145,3013,0
1,28,7,2,8,4,4,0,0,4,0,2,100,1477,0
1,30,4,2,2,4,4,1,0,8,0,2,232,120,0
1,35,5,2,10,4,1,0,0,6,0,2,39,352,0
1,34,7,2,10,4,3,0,0,7,0,2,130,2316,0
1,27,2,2,10,4,6,0,0,3,0,3,179,671,0
1,33,6,1,4,4,1,0,0,2,1,2,56,879,0
1,29,4,2,7,5,5,0,0,6,0,2,229,1062,0
1,31,5,2,8,4,3,0,0,8,0,2,140,442,0
1,28,8,2,1,8,2,1,0,3,1,2,205,2097,0
1,39,6,2,10,7,1,1,0,5,0,2,261,13,0
1,34,9,2,11,8,5,1,0,6,1,2,169,5768,0
1,21,2,2,1,5,2,0,0,3,0,2,297,2617,0
1,35,12,2,11,8,6,1,1,5,1,2,146,2503,1
1,42,8,2,8,5,3,0,0,6,0,2,252,5251,0
1,22,3,3,5,4,3,0,0,7,0,2,194,3796,0
1,25,5,2,1,5,4,1,0,5,1,2,358,1099,0
1,26,6,2,10,4,3,0,0,7,0,2,11,3063,0
1,36,0,2,5,4,2,0,0,5,0,2,381,778,0
1,43,7,2,11,8,4,1,0,5,0,2,204,5135,0
1,26,9,2,2,8,7,1,1,6,0,2,49,2555,1
1,30,4,2,1,4,0,1,0,4,1,2,173,445,0
1,34,4,2,13,8,2,0,0,3,0,2,314,3464,0
1,32,2,2,10,4,3,0,0,8,0,2,219,1442,0
1,27,5,2,4,4,3,0,0,1,0,2,105,3900,0
1,39,13,2,1,8,5,1,1,6,1,2,136,460,0
1,35,1,2,9,3,2,1,0,3,0,2,416,1423,0
1,45,11,2,9,8,5,1,1,7,1,2,53,1910,0
1,30,0,3,5,2,3,0,0,2,0,1,383,1721,0
1,33,6,2,10,4,5,1,0,5,0,2,71,833,0
1,43,7,2,11,8,3,1,0,2,1,2,88,390,1
1,45,9,2,11,8,2,1,1,7,1,2,97,5060,0
1,23,5,2,9,5,1,0,0,1,0,2,105,3528,0
1,35,10,2,9,8,5,1,1,4,0,2,28,1014,1
1,30,7,2,14,9,1,1,0,5,1,2,106,2219,0
1,27,5,2,1,5,1,1,0,1,0,2,140,1796,0
1,45,4,2,6,3,5,0,0,5,0,2,205,5078,0
1,44,10,2,1,5,8,1,1,12,1,2,65,1918,0
1,46,4,3,9,8,6,1,0,6,0,2,244,943,0
1,46,4,2,9,3,8,1,1,10,0,2,304,1246,1
1,41,7,2,11,8,0,1,0,8,1,2,123,4052,0
1,36,4,2,9,4,0,0,0,6,0,2,27,1158,0
1,28,2,2,13,4,0,0,0,4,1,2,188,128,0
1,23,9,2,6,8,5,1,0,7,1,2,74,1418,0
1,40,4,2,6,8,4,0,0,5,0,2,3,2732,1
1,38,5,2,9,8,4,1,0,6,0,2,293,169,0
1,27,4,3,6,2,6,1,0,8,0,1,105,2471,1
1,27,6,2,8,8,5,1,0,8,0,2,125,669,1
1,40,8,2,6,8,8,0,1,14,0,2,57,3556,0
1,30,9,2,9,5,7,1,1,6,0,2,132,3309,0
1,35,5,2,9,8,2,0,1,8,0,2,88,2445,0
0,45,7,2,11,8,4,1,1,6,1,2,170,952,0
1,47,5,2,6,8,5,0,0,9,0,2,318,5588,0
1,40,5,2,8,2,9,1,1,9,0,2,345,2588,1
1,18,4,2,8,5,5,1,0,4,0,3,220,1411,1
1,43,8,2,8,8,6,1,0,12,0,2,385,6788,0
1,38,6,2,6,8,5,1,1,7,0,2,76,1807,0
1,39,8,2,6,8,3,1,0,8,1,2,106,5656,0
1,33,0,2,8,2,1,1,0,6,0,2,316,1438,0
1,28,6,2,1,1,2,1,0,3,1,2,481,872,0
1,40,8,2,1,8,3,1,1,5,1,2,258,920,0
0,44,11,2,9,7,6,1,1,9,1,2,118,2947,1
1,31,4,2,5,4,1,1,0,3,1,2,112,1956,0
1,39,5,2,9,5,1,1,1,1,1,2,294,711,0
0,48,2,2,13,8,2,1,1,3,1,2,345,2514,0
1,34,2,2,1,1,3,1,0,2,0,2,346,765,0
0,37,3,2,6,8,6,0,0,5,0,2,255,2378,0
1,14,3,2,6,4,3,1,0,3,0,2,83,701,1
0,50,7,2,1,1,7,1,1,12,0,2,179,962,1
1,47,4,3,8,3,6,1,0,7,0,2,464,6936,0
0,32,2,2,4,4,1,0,0,4,0,2,106,1322,0
1,34,6,2,8,8,9,1,1,8,0,2,232,1580,1
1,34,3,2,11,8,4,1,1,2,1,2,382,322,1
1,26,6,2,9,8,2,1,0,1,1,3,386,1536,0
1,41,5,2,8,2,6,1,1,9,0,2,212,959,1
1,28,12,2,8,7,9,1,1,8,0,1,106,5810,0
1,36,5,2,1,1,4,1,0,6,0,2,317,3012,0
1,46,7,2,8,8,4,1,0,11,1,2,308,4189,0
1,26,3,2,6,4,4,0,0,4,0,2,9,3357,0
1,46,4,2,6,8,8,1,1,5,0,2,33,1937,1
1,38,3,2,6,8,4,1,0,0,0,2,67,4106,1
1,32,2,2,6,4,3,1,0,1,0,2,170,3621,1
0,32,2,1,14,4,0,0,0,2,0,2,57,267,0
1,45,7,2,8,8,8,1,1,14,0,2,69,3323,1
0,42,1,2,1,1,4,1,1,4,1,2,481,1420,1
1,30,6,2,4,4,2,1,0,4,0,2,47,1041,1
1,43,6,2,8,1,7,1,0,15,0,2,207,7451,1
0,36,2,2,3,3,5,1,1,3,0,2,325,4308,1
1,35,13,2,1,8,6,1,1,7,1,2,129,4439,1
1,44,11,2,8,3,10,1,1,11,0,2,206,7674,1
0,38,11,2,14,8,6,1,1,8,1,2,274,4135,1
0,41,7,1,8,8,2,0,1,6,1,2,53,3865,0
0,42,3,2,12,4,2,0,0,1,0,2,121,2089,0
1,44,10,2,8,8,7,1,1,11,0,2,132,5177,1
0,43,4,2,8,8,4,1,1,9,0,2,94,2468,1
1,21,13,1,8,4,3,1,1,3,1,2,18,4542,0
1,39,9,2,6,7,5,1,1,6,0,2,203,3389,0
1,47,9,2,6,8,5,1,1,5,0,2,224,5667,1
1,46,7,2,13,8,7,1,1,6,0,2,273,2565,1
1,47,3,2,14,8,2,1,1,0,0,2,388,2654,1
1,34,9,1,8,7,5,1,1,6,1,2,254,4758,0
1,34,5,2,8,4,6,0,1,8,0,2,21,2093,0
0,51,10,2,14,8,4,1,1,5,1,2,238,4467,1
0,40,6,2,6,8,6,1,1,4,1,2,53,2289,1
0,30,9,2,4,4,3,1,1,2,1,2,147,852,1
1,36,7,2,8,8,5,0,1,6,0,2,255,2585,1
1,49,16,2,12,8,9,1,1,8,1,2,70,1536,1
1,45,9,2,10,8,6,1,1,11,0,2,307,6496,1
0,41,2,2,5,8,1,1,0,1,1,2,252,98,0
1,45,9,2,8,1,13,1,1,13,0,2,286,4244,1
1,42,8,2,11,8,5,1,1,5,1,2,237,3015,1
0,50,14,2,8,8,8,1,1,10,1,2,48,7839,1
1,35,8,2,13,5,4,1,1,0,0,2,303,1749,1
1,14,5,2,2,8,5,1,0,3,0,2,280,3392,1
1,37,6,2,3,8,5,1,1,3,0,1,293,3292,1
1,39,10,2,1,3,4,1,1,0,1,2,451,1592,1
1,53,15,2,8,5,16,1,1,20,0,2,309,4325,1
1,15,7,2,8,4,5,1,0,2,0,2,60,1488,1
0,41,1,2,13,3,8,0,1,5,0,3,330,2819,1
1,41,2,2,8,8,5,1,1,4,0,2,462,2658,1
0,40,2,1,11,4,3,0,0,3,0,2,248,5192,0
0,52,11,2,8,8,11,1,1,14,0,2,0,4219,1
1,38,14,2,8,8,9,1,1,12,1,2,101,4803,1
0,44,3,1,12,4,4,0,1,0,1,2,354,3291,0
0,30,0,2,13,3,1,0,1,0,0,2,121,1924,0
0,57,11,2,8,8,13,1,1,13,0,2,206,8695,1
1,29,3,2,13,4,3,0,0,0,0,2,226,2740,0
0,41,9,1,8,4,3,1,0,6,1,2,95,2919,0
1,28,3,2,8,1,6,1,0,5,0,2,103,643,1
1,47,16,2,8,8,12,1,1,9,0,1,249,10126,1
0,46,8,2,11,8,1,1,0,2,1,2,203,5216,0
0,49,16,2,8,8,11,1,1,15,1,2,63,4128,1
0,47,3,2,1,1,10,1,1,10,1,2,520,1479,1
0,41,4,2,12,4,5,0,1,3,0,2,127,2902,0
0,43,3,2,8,4,7,0,0,9,0,2,124,4251,1
0,68,12,2,11,8,9,1,1,13,1,2,267,6124,1
0,53,6,2,8,9,4,1,0,6,0,2,417,8877,1
0,49,5,2,14,8,7,1,1,3,1,2,397,2732,1
0,36,4,2,3,1,4,1,1,1,0,2,229,1646,0
1,30,3,2,8,4,3,0,0,0,0,3,226,1359,1
1,44,13,2,11,8,7,1,1,6,1,2,76,2925,1
0,31,8,1,14,9,0,1,0,4,1,2,153,1870,0
0,59,10,2,1,8,8,1,1,8,1,2,373,7681,1
0,59,9,2,3,3,11,1,1,11,0,2,327,3311,1
1,53,1,2,3,8,13,1,1,8,0,1,654,7147,1
0,31,4,2,8,4,0,0,0,0,1,2,109,2815,0
0,54,2,2,3,1,7,1,1,8,0,2,537,802,1
0,30,6,2,12,4,6,1,1,3,1,2,72,1206,1
0,38,10,2,3,4,7,1,1,6,1,2,278,725,1
0,48,7,2,1,3,5,1,1,2,1,2,515,4717,1
0,41,16,2,8,8,9,1,1,12,1,2,21,3161,1
1,43,6,2,8,3,9,1,1,6,0,1,154,5442,1
1,38,0,2,2,9,5,0,0,1,0,2,567,2398,1
0,48,11,2,14,7,8,1,1,10,1,2,117,3633,1
1,48,16,2,9,5,7,1,1,6,1,2,54,1999,1
0,31,5,2,10,4,3,0,0,3,0,2,22,485,0
0,33,4,2,1,7,4,1,1,1,1,2,363,876,1
1,47,11,2,8,8,10,1,1,10,0,1,313,5418,1
0,54,11,2,3,8,9,1,1,8,1,2,386,5907,1
1,32,12,2,8,3,6,1,1,8,1,2,203,4435,1
0,39,8,2,11,8,5,1,1,5,1,2,106,1484,1
1,26,9,2,3,4,5,1,1,3,1,2,204,1363,1
1,35,10,2,11,4,5,1,1,5,0,2,126,3428,1
0,59,7,2,11,4,7,0,1,6,0,2,148,1979,0
0,48,6,2,8,9,4,1,1,4,1,2,193,3177,1
0,69,7,2,1,1,7,1,1,12,0,2,353,1777,1
1,44,15,2,8,2,13,1,1,12,0,1,10,5410,1
1,46,3,2,1,8,6,1,1,3,1,3,570,2287,1
0,30,6,1,1,9,1,0,0,0,1,2,321,2862,0
0,33,2,1,1,4,0,0,0,0,1,2,331,369,0
1,30,10,2,8,9,4,1,1,7,0,2,73,2680,1
0,45,5,2,1,9,3,1,1,6,1,2,381,5704,1
1,55,10,2,1,8,8,1,1,10,1,2,560,8867,1
1,31,9,2,14,9,2,1,0,1,1,2,179,4727,1
1,17,8,2,8,3,2,1,0,2,1,2,137,2262,1
0,39,3,2,6,4,6,0,0,4,0,2,108,3620,0
1,44,4,2,10,1,8,1,1,10,0,2,145,1089,1
1,33,14,2,7,3,6,1,1,8,1,2,204,3829,1
1,46,18,2,14,8,6,1,1,13,1,2,254,1717,1
1,43,6,2,11,4,3,1,0,0,1,2,283,3313,1
1,35,14,2,7,3,4,1,1,4,1,2,77,4352,1
0,39,6,2,8,9,5,1,1,7,0,2,178,1779,1
0,47,4,2,13,3,5,1,1,6,0,2,239,2119,1
1,40,9,2,4,8,9,1,1,7,1,1,590,1528,1
